src,mar_Deva,hin_Deva
We were discussing about him in our Civics class the other day.,आम्ही त्या दिवशी आमच्या नागरिकशास्त्राच्या तासामध्ये त्यांच्याबद्दल चर्चा करत होतो.,हाल ही में हम उनके बारे में सिविक्स की कक्षा में चर्चा कर रहे थे।
Ma'am said that she will tell us more about him when we do the chapter on the Indian Constitution,मॅ'डम म्हणाल्या की जेव्हा आपण भारताच्या राज्यघटनेवरचा धडा करू तेव्हा त्या त्यांच्याबद्दल आणखी माहिती सांगतील.,मैम ने कहा था कि वे उनके बारे में हमें और बताएंगी जब हम भारतीय संविधान का पाठ पढ़ेंगे।
"He fought to remove the class distinction that prevailed in the society, right?","समाजात प्रबळ असणारा वर्गभेद नष्ट करण्यासाठी त्यांनी लढा दिला, हो ना?","उन्होंने समाज से जाति के आधार पर भेदभाव खत्म करने के लिए लड़ाई की थी, है ना?"
"Yes. Being a Dalit himself, he realised how hard is it to deal with the evil of untouchability.",होय. स्वतः एक दलित असल्याने अस्पृश्यतेच्या दु:स्थितीचा सामना करणे किती कठीण आहे याची त्यांना जाणीव झाली होती.,"हाँ, खुद दलित होने की वजह से उन्हें पता था कि छुआछूत की बुराई से जूझना कितना मुश्किल है।"
"Thus, he fought for the rights of the lower class.","अशा प्रकारे, त्यांनी खालच्या वर्गांच्या अधिकारांसाठी लढा दिला.",इसलिए इन्होंने निचली जाति के लोगों के अधिकारों के लिए लड़ाई लड़ी।
He extensively campaigned against the discrimination and came out victorious.,त्यांनी भेदभावाच्या विरुद्ध व्यापक लढा दिला आणि शेवटी ते विजयी ठरले.,उन्होंने बड़े पैमाने में भेदभाव के खिलाफ लड़ाई की और जीत हासिल की।
"Wow, what a strong personality!","अरे वा, केवढे सामर्थ्यवान व्यक्तिमत्व!","वाह, कितना मजबूत व्यक्तित्व था उनका!"
That is why the day is also commemorated as Equality Day all across the subcontinent.,याच कारणामुळे हा दिवस संपूर्ण उपखंडात समता दिन म्हणूनही साजरा केला जातो.,इसलिए इस दिन को पूरे उपमहाद्वीप में समानता दिवस के रूप में भी मनाया जाता है।
I am sure you are going to love reading about this man when you study the chapter in school.,"मला खात्री आहे, तू जेव्हां शाळेत या धड्याचा अभ्यास करशील तेव्हा तुला या व्यक्तिमत्त्वाबद्दल वाचायला आवडेल.",मुझे मालूम है कि तुम्हें इस व्यक्ति के बारे में पढ़ने में बहुत अच्छा लगेगा जब तुम यह पाठ स्कूल में पढ़ोगी।
"Yes mom, I can't wait for it.","हो आई, मला आता धीर धरवत नाहीय.","हाँ माँ, मैं इसके लिए इंतज़ार नहीं कर सकती।"
I am really intrigued.,मला आता खरेच फारच उत्सुकता वाटतेय.,मैं वास्तव में उत्सुक हूं।
"Okay, now tell me what movie do you want to go for?","ठीक आहे, आता मला हे सांग की तुला कोणत्या सिनेमाला जायचं आहे?","ठीक है, अब बताओ कि कौन सी फिल्म देखना चाहती हो?"
Do you want to watch the new Marvel movie?,तुला मार्व्हेलचा नवा सिनेमा बघायचा आहे का?,क्या तुम नई मार्वल फिल्म देखना चाहोगी?
You mean Doctor Strange and the Multiverse of Madness?,म्हणजे तुला डॉक्टर स्ट्रेंज अँड द मल्टीव्हर्स ऑफ मॅडनेस म्हणायचं आहे का?,तुम्हारा मतलब है डॉक्टर स्ट्रेंज और मल्टीवर्स ऑफ मैडनेस?
I am dying to watch it.,मला तो कधी बघते असं झालय.,मैं उसे देखने के लिए बेकरार हूँ।
Can you book the tickets?,तू तिकिटं काढून ठेवतेस का?,क्या तुम टिकट बुक कर सकती हो?
Let me talk to Dad.,मला आधी बाबांशी बोलू दे.,पहले पिताजी से बात कर लूं।
"Hey, you are pursuing.a course in web designing, aren't you?","अगं, तू वेब डिझायनिंगचा कोर्स करते आहेस ना?","हैलो, तुम वेब डिजाइनिंग का कोर्स कर रही हो न?"
"One of my friends is thinking of doing the same so, I told her I'd get some information from you about it.","माझी एक मैत्रिण तो करायचा विचार करतीये, मी तिला सांगितलं की मी तुझ्याकडून त्याची माहिती घेईन.","मेरी एक दोस्त भी यही कोर्स करने की सोच रही है, तो मैंने उससे कहा कि मैं उसके बारे में तुमसे कुछ जानकारी लूँगी।"
"Yeah, I am in my second year.","हो, मी आता दुसऱ्या वर्षात आहे.","हाँ, ये मेरा दूसरा साल है।"
"That's great, so what does she want to know?","अरे वा, तिला काय माहिती हवी आहे?","बढ़िया, तो वो क्या जानना चाहती है?"
Which are the colleges that offer a diploma course in web designing?,कोणकोणत्या महाविद्यालयातून वेब डिझायनिंगची पदवी मिळवता येते?,कौन-कौन से कॉलेज हैं जहाँ वेब डिजाइनिंग का डिप्लोमा कोर्स होता है?
"She is not very sure of her choice, so she just wants to try it out at this point.","तिची निवड अजून ठरलेली नाही, त्यामुळे आत्ता तरी तिला फक्त प्रयत्न करून पाहायचे आहे.","उसने अपनी पसंद के बारे में कुछ पक्का तय नहीं किया है, तो अभी बस इसे ट्राई करना चाहती है।"
"Ok, I get that.","बरं बरं, आले माझ्या लक्षात.","ठीक है, मैं समझ गई।"
"It is available at a lot of colleges like the School of Fashion Technology, Pune; Stella Maris College, Chennai and Loyola College, Chennai among numerous others.","तो स्कूल ऑफ फॅशन टेक्नॉलॉजी, पुणे; स्टेला मारिस महाविद्यालय, चेन्नई आणि लॉयोला महाविद्यालय, चेन्नई अशा आणि पुष्कळशा इतर महाविद्यालयात उपलब्ध आहे.",ये पुणे के स्कूल ऑफ़ फैशन टेक्नोलॉजी; चेन्नई के स्टेला मैरिस कॉलेज और चेन्नई के लोयोला कॉलेज और अन्य बहुत सारे कॉलेजों में उपलब्ध है।
"You went to Loyola College, right?","तू लॉयोला महाविद्यालयात होतीस, हो ना?",तुम तो लोयोला कॉलेज गई थी न?
"Yeah, I studied there.","हो, मी तिथेच शिकले.","हाँ, मेरी पढ़ाई वहीं हुई थी।"
These colleges that you mentioned are pretty well known.,तू सांगितलेली ही महाविद्यालये तर सुप्रसिद्ध आहेत.,"तुमने जो कॉलेज बताए, वे काफ़ी नामी हैं।"
What is the entrance process?,प्रवेशप्रक्रिया काय आहे?,प्रवेश की प्रक्रिया क्या है?
"Yeah, some colleges conduct their own entrance exams.","हो, काही महाविद्यालये त्यांच्या स्वतःच्या प्रवेश परीक्षा घेतात.","हाँ, कुछ कॉलेज अपने खुद के एंट्रेंस एक्ज़ाम करवाते हैं।"
They look at the 10th and 12th standard grades as well.,ते दहावी आणि बारावीचे गुण सुद्धा पाहतात.,और10वीं और 12वीं की ग्रेड भी देखते हैं।
"There are national tests like the NID Entrance Exam, too.",एन.आय.डी. प्रवेश परीक्षेसारख्या राष्ट्रीय पातळीवरील परीक्षा सुद्धा आहेत.,एन.आई.डी. एंट्रेंस एक्ज़ाम जैसी राष्ट्रीय परीक्षाएँ भी हैं।
"My friend did really well for her boards, so she can ace any merit-based entrance.","माझ्या मैत्रिणीला बोर्डाच्या परीक्षेत खूप चांगले गुण मिळाले आहेत, त्यामुळे गुणवत्तेवर आधारित असलेल्या कुठल्याही परीक्षेत ती चांगलेच गुण मिळवू शकेल.",मेरी दोस्त के बोर्ड में वाकई बहुत अच्छे नंबर आए थे तो वे मेरिट के आधार पर किसी भी एंट्रेंस में पास हो सकती है।
She is not so confident in her creative skills.,तिच्या कल्पक कौशल्यांबद्दल तिला तितकासा आत्मविश्वास नाही.,उसे अपनी क्रिएटिव स्किल पर खास भरोसा नहीं है।
How long is the diploma course in these universities?,या विद्यापीठांमध्ये पदविका अभ्यासक्रम किती कालावधीचा असतो?,इन यूनिवर्सिटियों में डिप्लोमा कोर्स कितने समय का है?
It usually lasts between a year or two.,साधारणपणे तो एक किंवा दोन वर्षांचा असतो.,आम तौर पर ये एक से दो साल तक चलता है।
It actually depends on the college you take admission at.,खरं म्हणजे हे तुम्ही कुठल्या महाविद्यालयात प्रवेश घेता त्यावर अवलंबून आहे.,असल में ये इस बात पर निर्भर करता है कि किस कॉलेज में एडमिशन लिया है।
Are the career options good?,करियरचे पर्याय चांगले आहेत ना?,क्या करियर ऑप्शन अच्छे हैं?
"Yeah, the job prospects in this field are promising.","हो, या क्षेत्रात नोकरीच्या शक्यता आश्वासक आहेत.","हाँ, इस फ़ील्ड में नौकरी के मौके बढ़िया हैं।"
This is especially considering the world becoming increasingly digital.,विशेषतः जग अधिकाधिक डिजिटल होत आहे हे लक्षात घेता याचा विचार करणे योग्य आहे.,खास कर के तब जब दुनिया तेजी से डिजिटल होती जा रही है।
Hmm.. I see what you mean.,"हां, आले माझ्या लक्षात तू काय म्हणते आहेस ते.",हम्म.. मैं समझ रही हूँ तुम क्या कहना चाहती हो।
Do you know anyone who has taken this course before?,याआधी हा कोर्स कुणी केला आहे तुला माहिती आहे का?,क्या तुम ऐसे किसी को जानती हो जिसने पहले यह कोर्स किया हो?
"Yeah, one of my friends did a diploma in web designing some five years back.","हो, माझ्या एका मैत्रिणीने पाचेक वर्षांपूर्वी वेब डिझायनिंगचा डिप्लोमा केला होता.","हाँ, मेरे एक दोस्त ने कुछ पाँच साल पहले वेब डिजाइनिंग में डिप्लोमा किया था।"
He is a successful web designer today.,आज तो एक यशस्वी वेब डिझायनर आहे.,आज वो एक सफल वेब डिज़ाइनर है।
"Can I have his contact information, if you don't mind?",तुझी हरकत नसेल तर तिचा फोन नंबर मला देशील का?,"अगर तुम्हें कोई एतराज़ न हो, तो क्या मुझे उनकी कॉन्टैक्ट इंफ़ॉरमेशन मिल सकती है?"
Its so that I can give it to my friend so she can talk to someone in detail about the course.,मी तो माझ्या मैत्रिणीला देईन म्हणजे तिला तिच्याशी या अभ्यासक्रमाबद्दल सविस्तर बोलता येईल.,ऐसा इसलिए कि फिर मैं इसे अपनी दोस्त को दे सकती हूँ ताकि वो किसी से इस कोर्स के बारे में डीटेल में बात कर सके।
"Of course, I shall send you the contact on WhatsApp.","नक्कीच, मी तुला तिचा फोन नंबर व्हाट्सॲपवर पाठवते.","बिल्कुल, मैं तुम्हें वॉट्सएप पर कॉन्टैक्ट भेज दूँगी।"
Am I too late?,मला फार उशीर झाला का?,क्या मुझे बहुत देर हो गई?
Did the parade start?,संचलन सुरु झालं का?,परेड शुरू हो गई क्या?
I don't know why I overslept.,मला समजतच नाही मी उशिरापर्यंत का झोपून राहिले ते.,पता नहीं इतनी देर कैसे सो गई मैं।
"Don't worry, you are right on time.","काळजी करू नकोस, तू अगदी वेळेत आली आहेस.","चिंता मत करो, तुम सही समय पर आई हो।"
It has just been 5 minutes.,सुरु होऊन फक्त ५ मिनिटंच झाली आहेत.,अभी बस 5 ही मिनट हुए हैं।
Come and have a seat.,"ये, बस जागेवर.",इधर आ कर बैठो।
What did I miss?,माझं काय काय हुकलं?,मैंने क्या मिस किया?
Nothing much! Just the unfurling of the national flag by the President.,फारसं काही नाही! फक्त राष्ट्रपतींनी राष्ट्रध्वज फडकावला तेव्हढंच.,कुछ खास नहीं! बस राष्ट्रपति जी का राष्ट्रीय झंडा फहराना।
And the booming 21-gun salute to the president.,आणि राष्ट्रपतींना दिली गेलेली २१ तोफांची गगनभेदी सलामी.,और राष्ट्रपति को 21 तोपों की सलामी।
"At present, the different regiments of the Army, Navy, and Air Force, along with their bands are marching from the Rashtrapati Bhawan along the Rajpath.","आता सध्या भूदल, नौदल आणि हवाई दलाच्या वेगवेगळ्या पलटणी राष्ट्रपती भवनापासून त्यांच्या वाद्यवृंदांसह कवायती करत राजपथावरून येत आहेत.","अभी आर्मी, नेवी और एयर फोर्स की अलग-अलग टुकड़ियाँ और उनके साथ उनके बैंड राजपथ पर राष्ट्रपति भवन से मार्च करते आ रहे हैं।"
Where are they heading to?,ते कुठे जात आहेत?,ये लोग कहाँ जा रहे हैं?
To the India Gate and finally to the Red fort.,इंडिया गेटकडे आणि सर्वात शेवटी लाल किल्ल्याकडे.,इंडिया गेट की तरफ और अंत में लाल किला।
"As each of them go by, they pay homage to the President.",यापैकी प्रत्येक जण बाजूने जातो तेव्हां ते राष्ट्रपतींना वंदन करतात.,"जैसे-जैसे वे गुजरते हैं, राष्ट्रपति को सलाम करते हैं।"
And look how he in turn is standing up and encouraging them as they march forward.,"आणि बघ, तेही कसे प्रत्येक वेळी उभे राहून, कवायत करत पुढे जाणाऱ्यांना प्रोत्साहन देताहेत.",और देखो वे भी किस तरह खड़े हैं और उन्हें आगे मार्च करते जाने के लिए प्रोत्साहित कर रहे हैं।
I wish to see all of it in person someday.,मला कधीतरी हे सर्व प्रत्यक्षात बघायची इच्छा आहे.,काश मैं किसी दिन सामने से बैठ कर देख सकूं।
What about the representation of different states?,आणि वेगवेगळ्या राज्यांच्या प्रतिनिधित्वाचं काय ?,अलग-अलग राज्यों की प्रदर्शनी का क्या हुआ?
Will it be after the army marches past?,ते भूदलाचं संचलन झाल्यानंतर होणार आहे का?,क्या वह आर्मी के मार्च पास्ट के बाद होगा?
"Yes, once all the regiments march away, they will arrive.","हो, एकदा सर्व पलटणी संचलन करत पुढे गेल्या, की मग ते येतील.","हाँ, जब सारी टुकड़ियाँ मार्च करके निकल जाएंगी, तब वे सब आएंगे।"
Each state is represented by a tableaux.,प्रत्येक राज्याचं प्रतिनिधित्व एका चित्ररथाद्वारे केलं जातं.,हर राज्य को एक झांकी में दिखाया जाएगा।
"They showcase the history, culture, heritage, dvelopment programmes and environment of their respective states.","ते आपापल्या राज्याचा विशिष्ट इतिहास, संस्कृती, वारसा, विकास कार्यक्रम आणि पर्यावरणाचे प्रदर्शन करतात.","इनमें उस विशिष्ट राज्य का इतिहास, संस्कृति, धरोहर, विकास कार्यक्रम और पर्यावरण दिखाया जाता है।"
They carry some animations and sound along with them.,ते त्यांच्यासोबत काही आवाज करणारी हलती चित्रे-मूर्त्या घेऊन येतात.,वो अपने साथ कुछ ऐनिमेशन और साउंड भी लेकर चलते हैं।
It is a very colorful display.,तो एक फारच आकर्षक रंगीबेरंगी देखावा असतो.,काफी रंगारंग डिस्प्ले होता है।
"Yeah, and my favourite part of the entire parade too.","हो, आणि या संपूर्ण संचलनातला माझा सगळ्यात आवडता भाग सुद्धा.",और मेरे लिए पूरी परेड का सबसे पसंदीदा भाग भी यही है।
I still remember how the tableaux of West Bengal was decorated last time.,मागच्या वेळी पश्चिम बंगालचा चित्ररथ कसा सजवला होता ते मला अजूनही आठंवतय.,मुझे आज भी याद है पिछली बार पश्चिम बंगाल की झांकी किस तरह से सजाई गई थी।
"And also the dancers on it, exhibiting the folk dance form of rural bengal.","आणि त्यावरचे नर्तक सुद्धा, बंगालच्या ग्रामीण भागातली लोकनृत्ये सादर करणारे.",और उस पर ग्रामीण बंगाल का लोक नृत्य दर्शा रहे नर्तक भी।
I wonder what they have in store this year.,या वर्षी त्यांच्या पोतडीत काय असणार आहे याचं मला कुतूहल वाटतय.,"पता नहीं, इस साल क्या दिखाने वाले हैं।"
Let us wait and watch.,चलाआपण वाट पाहूया आणि बघूया.,इंतज़ार करते हैं और देखते हैं।
"But do not forget, you have your sit and draw competition today at around 12 noon.",पण तुला आज दुपारी १२ च्या सुमाराला तुझी बसून चित्र काढण्याची स्पर्धा आहे हे मात्र विसरू नकोस हं.,"लेकिन भूलना मत, आज 12 बजे के करीब तुम्हारी सिट एंड ड्रॉ प्रतियोगिता भी है।"
Are you prepared for that?,तू तयार आहेस ना त्याच्यासाठी ?,क्या तुम उसके लिए तैयार हो?
I have practised my sketches already.,मी माझ्या रेखाटनांचा आधीच सराव केलाय.,मैंने पहले से ही स्केच बनाने का अभ्यास कर लिया है।
I am drawing a glimpse of the Republic Day parade itself.,मी प्रजासत्ताक दिनाच्या संचलनाचीच एक झलक काढणार आहे.,मैं गणतंत्र दिवस के परेड की एक झलक ड्रा करने वाली हूँ।
I hope I can bag a prize.,मी एखाद बक्षीस पटकावीन अशी आशा आहे मला.,काश मुझे इनाम मिल जाए।
Do not bother about the prizes.,बक्षिसांंबद्दल विचार करू नकोस.,इनामों के बारे में मत सोचो।
Just enjoy yourself out there.,फक्त ते करण्याचा तिथे आनंद घे.,वहाँ पर बस मस्त रहना।
I wish you all the best.,माझ्याकडून तुला सर्वोत्तम शुभेच्छा!,मेरी शुभकामनाएं तुम्हारे साथ हैं।
"Thank you so much, Dad.",खूप धन्यवाद बाबा.,थैंक यू डैड।
But make sure you watch the part of the parade I will be missing due to the competition.,पण या स्पर्धेमुळे संचलनाचा जो भाग मला बघायला मिळणार नाही तो तुम्ही मात्र नक्की बघा.,"लेकिन प्रतियोगिता के कारण परेड का जो भाग मैं मिस कर जाऊँ, उसे आप हर हाल में देखें।"
I will hear about it at bedtime.,मी त्याबद्दल रात्री झोपताना ऐकेन.,रात को सोने से पहले उसके बारे में सुनूंगी।
"Hello, is this Samadhan helpline?",हॅलो ही समाधान हेल्पलाईन आहे ना?,"हेलो, क्या यह समाधान हेल्पलाइन है?"
"Yes, how can I help you?","हो, मी तुला काय मदत करू शकतो?","हाँ, मैं आपकी कैसे सहायता कर सकता हूँ?"
"I'm Harish, and I'm calling on behalf of Swami Vivekanand Educational Institute.",मी हरीश आहे आणि मी स्वामी विवेकानंद शैक्षणिक संस्थेच्या वतीने फोन केला आहे.,मैं हरीश हूँ और मैं स्वामी विवेकानंद शैक्षिक संस्थान की ओर से फोन कर रहा हूँ।
I'd like to learn more about the Merit-cum-Means Scholarship Programme.,मला गुणवत्ता-नि-साधन शिष्यवृत्ती कार्यक्रमाबद्दल अधिक माहिती हवी आहे.,मैं साधन-सह-योग्यता छात्रवृत्ति कार्यक्रम के बारे में और जानना चाहता हूँ।
So that I can inform our students about this programme.,जेणेकरून मला आमच्या विद्यार्थ्यांना या कार्यक्रमाबद्दल माहिती देता येईल..,जिससे कि मैं इस कार्यक्रम के बारे में अपने छात्रों को जानकारी दे सकूं।
Alright! The Scheme's principal goal is to provide financial help to underprivileged and deserving students from minority populations.,"आलं लक्षात! या योजनेचे मुख्य उद्दिष्ट आहे, अल्पसंख्याक समुदायांमधील वंचित आणि पात्र विद्यार्थ्यांना आर्थिक मदत देणे.",ठीक है! इस योजना का मुख्य उद्देश्य है अल्पसंख्यक समुदायों के वंचित और काबिल छात्रों को आर्थिक सहायता देना।
"And with this scholarship, they will be able to pursue professional and technical education.",आणि या शिष्यवृत्तीमुळे त्यांना व्यावसायिक आणि तांत्रिक शिक्षण चालू ठेवणे शक्य होईल.,और इस छात्रवृत्ति से वे पेशेवर और तकनीकी शिक्षा पा सकेंगे।
This scheme is initiated by the Ministry of Minority Affairs.,ही योजना अल्पसंख्याक व्यवहार मंत्रालयाने सुरु केली आहे.,यह योजना अल्पसंख्यक कार्य मंत्रालय द्वारा शुरू की गई है।
"Yes, sir.","होय, सर.","जी, सर।"
"Is it correct that the scholarship is for studies in India, sir?","सर, ही शिष्यवृत्ती भारतात शिकण्यासाठी मिळते हे बरोबर आहे ना?","क्या यह सही है कि यह छात्रवृत्ति भारत में पढ़ाई के लिए है, सर?"
Yes. The scholarship will only be given to students studying in a government or private university in India.,होय. ही शिष्यवृत्ती फक्त भारतातील सरकारी किंवा खाजगी विद्यापीठात शिकणाऱ्या विद्यार्थ्यांना दिली जाईल.,हाँ। यह छात्रवृत्ति केवल उन छात्रों के लिए है जो भारत के किसी सरकारी या निजी महाविद्यालय में पढ़ रहे हैं।
Is this scholarship only for undergraduate students?,ही शिष्यवृत्ती फक्त पदवीपूर्व शिक्षण घेणाऱ्या विद्यार्थ्यांसाठी आहे का?,क्या यह छात्रवृत्ति केवल स्नातक के छात्रों के लिए है?
"No, it will cover technical and professional courses at undergraduate and post graduate level.","नाही, ती तांत्रिक आणि व्यावसायिक अभ्यासक्रमांसाठी पदवीपूर्व आणि पदव्युत्तर स्तरावर उपलब्ध आहे.","नहीं, यह स्नातक एवं स्नातकोत्तर स्तर पर तकनीकी और पेशेवर पाठ्यक्रमों के लिए दी जाएगी।"
What are the criteria for applying for this scholarship?,या शिष्यवृत्तीसाठी अर्ज करण्याचे निकष काय आहेत?,इस छात्रवृत्ति के लिए अप्लाई करने के क्या मानदंड हैं?
Students who received at least 50% or an equivalent grade in their previous final examination will be eligible for a scholarship.,ज्या विद्यार्थ्यांना आधीच्या अंतिम परीक्षेत कमीतकमी ५०% किंवा त्यासमान श्रेणी मिळाली असेल ते या शिष्यवृत्तीसाठी पात्र आहेत.,"जिन छात्रों को पिछली फाइनल परीक्षा में कम से कम 50% अंक या उसके समान ग्रेड हासिल हुए हैं, वे इस छात्रवृत्ति के योग्य हैं।"
"Also, if their parents' or guardians' annual income from all sources does not exceed Rs. 2.50 lakh.","तसेच, जर त्यांच्या पालकांचे किंवा पालनकर्त्यांचे सर्व मार्गांनी मिळणारे वार्षिक उत्पन्न २.५० लाखांहून जास्त नसावे.","इसके साथ ही, उनके माता-पिता या अभिभावकों की सभी स्रोतों से आय रु. 2.50 लाख से ज्यादा नहीं है।"
"Sir, how many students will be awarded with the MCM?","सर, किती विद्यार्थ्यांना ही एम.सी.एम. दिली जाईल?","सर, कितने छात्रों को एम.सी.एम दी जाएगी?"
"A total of 60,000 scholarships are targeted to be distributed as Fresh Scholarships, besides renewal scholarships.","नूतनीकरण केलेल्या शिष्यवृत्त्यांखेरीज एकूण ६०,००० नवीन शिष्यवृत्ती वाटण्याचे लक्ष्य आहे.","पुनरारम्भ की गई छात्रवृत्तियों के अलावा, 60,000 नई छात्रवृत्तियाँ दिए जाने का लक्ष्य है।"
"That's a large number, and it will be beneficial to students who are in need.","ही मोठी संख्या आहे, आणि गरजू विद्यार्थ्यांना यामुळे फायदा होईल",यह तो काफी बड़ी संख्या है और इससे वे छात्र लाभान्वित होंगे जिनको इसकी जरूरत है।
These scholarships are also a source of motivation for other students.,या शिष्यवृत्त्यांमुळे अन्य विद्यार्थ्यांनासुद्धा प्रेरणा मिळते.,यह छात्रवृत्तियाँ अन्य छात्रों के लिए भी प्रेरणा का स्रोत हैं।
"Yes, you are right.","होय, तुमचे बरोबर आहे.","हाँ, आप सही कह रहे हैं।"
"There is one reservation policy, that is 30% scholarship is earmarked for girls students of each minority community in a State/UT.","यामध्ये एक आरक्षण धोरण आहे, त्यामध्ये ३०% शिष्यवृत्ती प्रत्येक राज्य किंवा केंद्रशासित प्रदेशातील प्रत्येक अल्पसंख्याक समुदायातील विद्यार्थिनींसाठी राखून ठेवलेली असते.","एक आरक्षण नीति भी है, यानी राज्य/केंद्र शासित प्रदेश के हर अल्पसंख्यक समुदाय की छात्राओं के लिए 30% छात्रवृत्तियाँ निर्धारित हैं।"
"Oh, that's excellent.","अरे वा, हे तर खूपच छान आहे.","ओह, यह तो बहुत ही अच्छा है।"
How long will this scholarship last?,या शिष्यवृत्तीची मुदत किती असते?,यह छात्रवृत्ति कब तक चलेगी?
Scholarship will be provided for the entire academic year/course.,ही शिष्यवृत्ती संपूर्ण शैक्षणिक वर्ष/अभ्यासक्रमासाठी दिली जाईल.,छात्रवृत्ति सम्पूर्ण शैक्षणिक वर्ष /पाठ्यक्रम के लिए दी जाएगी।
"And the maintenance allowance will be given as fixed lump sum amount for an academic year of Rs. 10,000/- for hostellers and Rs. 5,000/- for day scholars.","आणि निर्वाह भत्ता हा एका शैक्षणिक वर्षासाठी वसतिगृहात राहणाऱ्या विद्यार्थ्यांसाठी एकरकमी १०,०००/- रुपये आणि अनिवासी विद्यार्थ्यांसाठी ५,०००/- रुपये असा ठराविक रकमेत दिला जाईल.","और पूरे शैक्षणिक वर्ष के लिए रखरखाव भत्ते के रूप में रु.10,000/- की एक मुश्त राशि होस्टल में रहने वालों के लिए और गैर छात्रावासी विद्यार्थियों के लिए रु.5,000/-की एक मुश्त राशि दी जाएगी।"
