src,prediction,gt
"Unfortunately though incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","दुर्दैवाने, नकारात्मक आणि सकारात्मक दोन्ही प्रयोगांबद्दल चुकीच्या अंदाज केल्या गेल्या, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या.","तरीही दुर्दैवाने, नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे अंदाज वर्तवले गेले, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या."
Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,"मानक मूल्यांकन प्रोटोकॉलचे पालन सुनिश्चित करण्यासाठी, XYZ प्रक्रिया वापरून अर्जदारास नकार द्या.",मानक मूल्यांकन नियमांचे पालन सुनिश्चित करण्यासाठी 'XYZ' कार्यपद्धतीचा वापर करून अर्जदाराला नाकारा.
It represents an early quantifiable hyperplastic response of the tissue to injury.,हे उत्क्लिष्ट ऊतीच्या दुखापतीवर होणाऱ्या लवकर मोजता येणाऱ्या अतिवृद्धी प्रतिसादाचे प्रतिनिधित्व करते.,"ते दुखापतीनंतर ऊतीचा लवकरचा, मोजता येण्याजोगा, हायपरप्लास्टिक प्रतिसाद दर्शविते."
Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,"योग्य कार्य आणि सुरक्षितता सत्यापित करण्यासाठी, ABC रूटीननुसार XYZ ऑपरेटरकडे परत करा.",योग्य कार्यप्रणाली आणि सुरक्षितता सत्यापित करण्यासाठी 'एबीसी' नियमांचे पालन करून 'XYZ' ऑपरेटरला परत करा.
Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,नवीन डिस्क डिस्क ड्राइव्हमध्ये अशा प्रकारे घाला की खाच तळाशी असून ती ड्राइव्हच्या प्रवेश स्लॉटच्या दिशेने असेल.,"नवीन डिस्क डिस्क ड्राइव्हमध्ये घाला, ज्याचा तळाशी असलेला नॉच ड्राइव्हच्या प्रवेश स्लॉटकडे तोंड करून असेल."
"Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.","गळती रोखण्यासाठी आणि सुरक्षित कार्य सुनिश्चित करण्यासाठी, इंधन लाइन्स आणि इलेक्ट्रिकल कंड्युट्स बदला, ज्यामध्ये क्रॅक्स किंवा खराब झालेले बी-नट फिटिंग्ज आहेत.","ज्या इंधन लाईन्स आणि इलेक्ट्रिकल कंड्युईट्सना तडे गेले आहेत किंवा बी-नट फिटिंग्ज खराब झाली आहेत, त्यांना गळती टाळण्यासाठी आणि सुरक्षित कामकाज सुनिश्चित करण्यासाठी बदला."
The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,प्रोसेसर इनपुट डिव्हाइसेसकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी आणि त्रुटी टाळण्यासाठी संगणनापूर्वी त्याची तपासणी करतो.,प्रोसेसर इनपुट उपकरणांकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी व त्रुटी टाळण्यासाठी तो गणनेपूर्वी तपासतो.
"The orifice through which the exhaust gases leave the chamber, is larger than the intake valve opening.","ज्या छिद्रातून एक्झॉस्ट वायू चेंबर सोडतात, ते इनटेक व्हॉल्व्ह ओपनिंगपेक्षा मोठे असते.","ज्या मुखातून उत्सर्जक वायू कक्षातून बाहेर पडतात, ते इनटेक व्हॉल्व्हच्या उघडण्यापेक्षा मोठे आहे."
Take no action as the camera operates automatically under all lighting conditions.,"कोणतीही कृती करू नका, कारण कॅमेरा सर्व प्रकाश परिस्थितींमध्ये स्वयंचलितपणे कार्य करतो.","कोणतीही कार्यवाही करू नका, कारण कॅमेरा सर्व प्रकाश परिस्थितीत आपोआप कार्य करतो."
The species of fish supported by the reef are varied and abundant food supplies are available to sustain their populations.,प्रवाळाशी निगडीत माशांच्या प्रजाती विविध आहेत आणि त्यांची लोकसंख्या टिकवण्यासाठी पुरेशा प्रमाणात अन्नपुरवठा उपलब्ध आहे.,रीफमुळे आधारलेल्या माशांच्या प्रजाती वैविध्यपूर्ण आहेत आणि त्यांच्या लोकसंख्या टिकवून ठेवण्यासाठी भरपूर अन्न पुरवठा उपलब्ध आहे.
"At high temperatures, all the ceramic materials show ductility and hardness decreases considerably, leading to a higher risk of deformation under load.","उच्च तापमानाला, सर्व सिरामिक सामग्री लवचिकता दर्शवतात आणि कठीणता लक्षणीयरीत्या कमी होते, ज्यामुळे भाराखाली विकृतीचा धोका वाढतो.","उच्च तापमानावर, सर्व सिरामिक साहित्ये तन्यता दर्शवतात आणि कडकपणा मोठ्या प्रमाणात कमी होतो, ज्यामुळे भाराखाली विरूपणाचा धोका वाढतो."
"This produces hard copy that can be retained but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","हे हार्ड कॉपी तयार करते जे जतन केले जाऊ शकते, परंतु मुद्रित पृष्ठे हाताळण्यासाठी बोजड असतात, म्हणून डिजिटल स्टोरेज आणि पाहणे बहुतेक वेळा प्राधान्य दिले जाते.","यामुळे जतन करता येणारी हार्ड कॉपी तयार होते, पण छापलेली पाने हाताळण्यास जाडजूड असल्याने, डिजिटल साठवण आणि पाहण्याला अनेकदा प्राधान्य दिले जाते."
Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation and gateways into these networks are planned by the PTTs to ensure seamless data communication.,पीटीटी-पुरवलेल्या पॅकेट-स्विच नेटवर्कशी कनेक्शन ही वर्कस्टेशनची प्रमुख आवश्यकता असेल आणि निर्बाध डेटा संप्रेषण सुनिश्चित करण्यासाठी या नेटवर्कमध्ये गेटवे पीटीटीद्वारे नियोजित केले आहेत.,पीटीटीने पुरवलेल्या पॅकेट-स्विच नेटवर्कशी जोडणी ही वर्कस्टेशनची प्रमुख आवश्यकता असेल आणि अखंड डेटा संवाद सुनिश्चित करण्यासाठी या नेटवर्कमध्ये प्रवेशासाठी गेटवे पीटीटीद्वारे नियोजित आहेत.
The system consistently achieved 50 gallons per hour optimum output.,यंत्रणेने सातत्याने प्रति तास 50 गॅलन इष्टतम उत्पादन प्राप्त केले.,प्रणालीने सातत्याने दर तासाला ५० गॅलन – इष्टतम उत्पादन – गाठले.
percentage reduction is critical: over and under reduction cause the ink to be very uneven and prone to smudging.,टक्केवारीतील घट गंभीर आहे: अतिरिक्त आणि अपूर्ण घटामुळे शाई अत्यंत असमान होते आणि स्मजिंगची शक्यता वाढते.,टक्केवारीतील घट निर्णायक आहे: जास्त घट आणि कमी घट यांमुळे शाई खूपच असमान होते आणि सहज डाग पडण्याची शक्यता असते.
Adopting a user-centered approach is a realistic strategy in the design of both paper and screen based forms.,कागद आणि स्क्रीन आधारित अशा दोन्ही फॉर्मच्या डिझाइनमध्ये वापरकर्ता-केंद्रित दृष्टीकोन स्वीकारणे ही एक वास्तववादी धोरण आहे.,"वापरकर्ता-केंद्रित दृष्टिकोन स्वीकारणे, कागदावर आधारित आणि स्क्रीनवर आधारित असलेल्या दोन्ही फॉर्म्सच्या डिझाइनमध्ये एक वास्तववादी रणनीती आहे."
Morphological studies of paraquat or oxygen toxicity in rats have shown significant cellular damage in lung tissue.,उंदरांमध्ये पॅराक्वॅट किंवा ऑक्सिजन विषबाधेच्या आकारिकीय अभ्यासांमध्ये फुफ्फुस ऊतीमध्ये लक्षणीय पेशीय नुकसान दर्शविले आहे.,उंदरांमधील पॅराक्वेट किंवा ऑक्सिजन विषारीपणाच्या रूपात्मक अभ्यासांनी फुफ्फुसाच्या ऊतीमध्ये लक्षणीय पेशींचे नुकसान दर्शविले आहे.
One should read G. V. Carey’s chapter Proof Correction in Mind the Stop.,एखाद्याने जी. व्ही. केरीचे 'माइंड द स्टॉप' या पुस्तकातील 'प्रूफ करेक्शन' हे प्रकरण वाचावे.,जी. व्ही. कॅरीचा 'माईंड द स्टॉप' मधील 'प्रूफ करेक्शन' हा अध्याय वाचला पाहिजे.
"The glass content of this material is low, 10% by weight, for this application.","या सामग्रीमधील काचेचे प्रमाण कमी आहे, वजनानुसार 10%, या वापरासाठी.",या सामग्रीतील काचेचे प्रमाण (वजनानुसार १०%) या उपयोगासाठी कमी आहे.
"During the experiment, the animals will be fed with water, via an automatic system, ad libitum.","प्रयोगादरम्यान, प्राण्यांना पाणी, स्वयंचलित प्रणालीद्वारे, मुक्तपणे खाऊ घातले जाईल.","प्रयोगादरम्यान, प्राण्यांना पाणी (स्वयंचलित प्रणालीद्वारे) इच्छेनुसार दिले जाईल."
a water:glycol ratio of 60:40 is preferred.,60:40 चे पाणी:ग्लायकोल गुणोत्तर प्राधान्य दिले जाते.,६०/४० पाण्याचे/ग्लायकॉलचे प्रमाण पसंत केले जाते.
It has thickness of only 16:240 inch.,याची जाडी केवळ 16:240 इंच आहे.,त्याची जाडी फक्त १६/२४० इंच आहे.
