Sentence,Response,sent_meant,gt
"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","अनेक चिंताजनक घटक म्हणजे थकवा, खराब दृष्टी, कमी वाचन क्षमता, चिंता किंवा जास्त सावधगिरी, विचलन आणि अपुरी प्रेरणा.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा."
"These are the components required motor brushes, bearings, and wiring.","या घटकांची आवश्यकता आहे मोटार ब्रश, बियरिंग आणि वायरिंगसाठी.","These are the components required: motor brushes, bearings, and wiring.","आवश्यक असलेले घटक खालीलप्रमाणे आहेत: मोटार ब्रशेस, बेअरिंग्ज आणि वायरिंग."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.",जेव्हा ध्वनीचा स्रोत खोली किंवा इतर आच्छादनात कार्यरत असतो तेव्हा त्या खोलीत आवाजाची दाब पातळी दोन घटकांमध्ये विभागली जाते - थेट आवाज आणि प्रतिध्वनीदार आवाज.,"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी."
The crucial words in the specification are the signals must be routed internally.,"विशेषणांच्या क्रियेचा अर्थ असा आहे की, सिग्नल आंतर-प्रक्रिया प्रणालीमध्ये (आयपीएस) पाठवले पाहिजेत आणि नंतर पुन्हा प्रक्रिया करण्यासाठी परत केले जावेत.",The crucial words in the specification are ‘the signals must be routed internally’.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.
Set BATTERY B switch to OFF set BATTERY C switch to ON.,बॅटरी बी स्विच ऑफ सेट बॅटरी सी स्विच ऑन.,Set BATTERY B switch to OFF; set BATTERY C switch to ON.,बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.
"What we see, we believe what we hear, we register",आपण जे पाहतो तेच आपल्याला ऐकू येते आणि विश्वास ठेवतो; आपण नोंदवतो.,"What we see, we believe; what we hear, we register","जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो."
"However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","तथापि ऑक्सिडेटिव्ह तणाव उद्भवतो जेव्हा संतुलन बिघडते, ज्यामुळे प्रतिक्रियशील ऑक्सिजन प्रजातींची वाढ होते.","However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.","तथापि, जेव्हा समतोल बिघडतो, तेव्हा प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे ऑक्सिडेटिव्ह ताण होतो."
Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,कोणत्याही बर्नरची त्याच्या संबंधित विभागात आग लागणार नाही तर ती पुन्हा 'पर्ज' होईल आणि अशा प्रकारे प्रणाली सुरक्षितपणे इंधन काढून टाकते.,"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत जाईल आणि अशा प्रकारे प्रणाली न जळलेल्या इंधनाची सुरक्षित विल्हेवाट सुनिश्चित करते."
"At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.",वर्तमान दरों पर रिटर्न देने से उद्योग में प्रतिस्पर्धा और मुनाफे के मार्जिन बढ़ रहे हैं।,"At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्या उद्योगात केवळ ७% निव्वळ नफा देणारे परताव्याचे दर सर्वत्र पसरलेले आहेत, ज्यामुळे वाढलेली स्पर्धा आणि नफ्याचे घट्ट मार्जिन दिसून येते."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","इंग्रजी इनपुट: तो या आणि नवजात मुलाच्या शिकण्याच्या प्रक्रियेतील समानता काढतो आणि फ्रॉइडचा संदर्भ देतो: ""इच्छा इथे होती तिथे इगो असेल""","He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","तो याची तुलना नवजात बालक प्रौढत्वाकडे विकसित होत असतानाच्या अध्ययन प्रक्रियेशी करतो आणि फ्रॉइडचे उद्धृत करतो: ""जिथे इड होते, तिथे इगो असेल."""
"Unfortunately though incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.",दुर्दैवाने तरी चुकीच्या अंदाजांमुळे दोन्ही नकारात्मक आणि सकारात्मक प्रयोगांबद्दल शंका निर्माण झाली आहे.,"Unfortunately though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","तरीही दुर्दैवाने, नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे अंदाज वर्तवले गेले, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या."
Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,अर्जदाराला मानक मूल्यांकन प्रोटोकॉलचे पालन करण्यासाठी प्रक्रिया एक्सवायझेड वापरून नाकारणे.,"Reject the applicant, using procedure XYZ to ensure compliance with standard evaluation protocols.",मानक मूल्यांकन नियमांचे पालन सुनिश्चित करण्यासाठी 'XYZ' कार्यपद्धतीचा वापर करून अर्जदाराला नाकारा.
It represents an early quantifiable hyperplastic response of the tissue to injury.,"हे एक प्रारंभिक मोजता येण्याजोगे अतिवृद्धीजन्य प्रतिसाद आहे, जे दुखापतीमुळे होते.","It represents an early, quantifiable, hyperplastic response of the tissue to injury.","ते दुखापतीनंतर ऊतीचा लवकरचा, मोजता येण्याजोगा, हायपरप्लास्टिक प्रतिसाद दर्शविते."
Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,ऑपरेटरला योग्यरित्या कार्य करण्यासाठी आणि सुरक्षितता सुनिश्चित करण्यासाठी एबीसी रूटीनचे पालन करून एक्सवायझेड परत करा.,"Return the XYZ to the operator, following the ABC routine to verify proper functioning and safety.",योग्य कार्यप्रणाली आणि सुरक्षितता सत्यापित करण्यासाठी 'एबीसी' नियमांचे पालन करून 'XYZ' ऑपरेटरला परत करा.
Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,नवीन डिस्क ड्राइव्हच्या तळाशी असलेल्या नॉचला ड्राइव स्लॉटमध्ये घालावे.,"Insert the new disk into the disk drive, with the notch at the bottom facing the drive’s entry slot.","नवीन डिस्क डिस्क ड्राइव्हमध्ये घाला, ज्याचा तळाशी असलेला नॉच ड्राइव्हच्या प्रवेश स्लॉटकडे तोंड करून असेल."
"Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.","फ्युएल लाईन्स आणि इलेक्ट्रिकल कंड्यूट्सची पुनर्स्थापना करा, जे खराब झालेले बी-नट फिटिंग्समुळे गळती रोखण्यासाठी आणि सुरक्षित ऑपरेशन सुनिश्चित करण्यासाठी आहेत.",Replace the fuel lines and electrical conduits which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.,"ज्या इंधन लाईन्स आणि इलेक्ट्रिकल कंड्युईट्सना तडे गेले आहेत किंवा बी-नट फिटिंग्ज खराब झाली आहेत, त्यांना गळती टाळण्यासाठी आणि सुरक्षित कामकाज सुनिश्चित करण्यासाठी बदला."
The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,"प्रोसेसर इनपुट डिव्हाइसमधून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी त्याची पडताळणी करतो, ज्यामुळे त्रुटी टाळण्यास मदत होते.","The processor accepts data from input devices, and checks it before computing to ensure accuracy and prevent errors.",प्रोसेसर इनपुट उपकरणांकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी व त्रुटी टाळण्यासाठी तो गणनेपूर्वी तपासतो.
"The orifice through which the exhaust gases leave the chamber, is larger than the intake valve opening.",कक्षातून बाहेर पडणाऱ्या वायूचा मार्ग मोठा असतो तर आत येणार्‍या वाफांचा मार्ग लहान असतो.,"The orifice, through which the exhaust gases leave the chamber is larger than the intake valve opening.","ज्या मुखातून उत्सर्जक वायू कक्षातून बाहेर पडतात, ते इनटेक व्हॉल्व्हच्या उघडण्यापेक्षा मोठे आहे."
Take no action as the camera operates automatically under all lighting conditions.,"इंग्रजी इनपुटः कॅमेरा स्वयंचलितपणे सर्व प्रकाश परिस्थितींमध्ये कार्य करतो, त्यामुळे कोणतेही कृती आवश्यक नाही.","Take no action, as the camera operates automatically under all lighting conditions.","कोणतीही कार्यवाही करू नका, कारण कॅमेरा सर्व प्रकाश परिस्थितीत आपोआप कार्य करतो."
The species of fish supported by the reef are varied and abundant food supplies are available to sustain their populations.,मत्स्य प्रजानां विविधता आणि विपुल अन्नसामग्रीमुळे त्यांच्या लोकसंख्येला आधार मिळतो.,"The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations.",रीफमुळे आधारलेल्या माशांच्या प्रजाती वैविध्यपूर्ण आहेत आणि त्यांच्या लोकसंख्या टिकवून ठेवण्यासाठी भरपूर अन्न पुरवठा उपलब्ध आहे.
"At high temperatures, all the ceramic materials show ductility and hardness decreases considerably, leading to a higher risk of deformation under load.",उच्च तापमानात सर्व सिरेमिक सामग्री लवचिकता आणि कडकपणा कमी दर्शवते ज्यामुळे भार अंतर्गत विकृतीचा धोका वाढतो.,"At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load.","उच्च तापमानावर, सर्व सिरामिक साहित्ये तन्यता दर्शवतात आणि कडकपणा मोठ्या प्रमाणात कमी होतो, ज्यामुळे भाराखाली विरूपणाचा धोका वाढतो."
"This produces hard copy that can be retained but printed sheets are bulky to handle, so digital storage and viewing are often preferred.",हे इंग्रजी हार्ड कॉपी तयार करते जी जतन केली जाऊ शकते परंतु छापलेली पृष्ठे हाताळण्यास कठीण असतात म्हणून डिजिटल साठवणूक आणि पाहणे अनेकदा पसंत केले जाते.,"This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","यामुळे जतन करता येणारी हार्ड कॉपी तयार होते, पण छापलेली पाने हाताळण्यास जाडजूड असल्याने, डिजिटल साठवण आणि पाहण्याला अनेकदा प्राधान्य दिले जाते."
Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation and gateways into these networks are planned by the PTTs to ensure seamless data communication.,कार्यस्थळ आणि गेटवेच्या माध्यमातून पाकिट स्विच नेटवर्कशी जोडणी करणे हे कामाचे प्राथमिक कार्य असेल असे नियोजन करण्यात आले आहे.,"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication.",पीटीटीने पुरवलेल्या पॅकेट-स्विच नेटवर्कशी जोडणी ही वर्कस्टेशनची प्रमुख आवश्यकता असेल आणि अखंड डेटा संवाद सुनिश्चित करण्यासाठी या नेटवर्कमध्ये प्रवेशासाठी गेटवे पीटीटीद्वारे नियोजित आहेत.
The system consistently achieved 50 gallons per hour optimum output.,प्रणालीने सातत्याने ५० गॅलन प्रति तास सर्वोत्तम उत्पादन साध्य केले आहे.,The system consistently achieved 50 gallons per hour — optimum output.,प्रणालीने सातत्याने दर तासाला ५० गॅलन – इष्टतम उत्पादन – गाठले.
percentage reduction is critical: over and under reduction cause the ink to be very uneven and prone to smudging.,प्रतिशत कमी करणे हे महत्त्वाचे आहेः ओव्हर आणि अंडर रिडक्शनमुळे इंक खूप असमान होते आणि धुळीस मिळते.,percentage reduction is critical: over- and underreduction cause the ink to be very uneven and prone to smudging.,टक्केवारीतील घट निर्णायक आहे: जास्त घट आणि कमी घट यांमुळे शाई खूपच असमान होते आणि सहज डाग पडण्याची शक्यता असते.
Adopting a user-centered approach is a realistic strategy in the design of both paper and screen based forms.,कागदावर आणि पडद्यावर दोन्ही ठिकाणी वापरकर्ते केंद्रित दृष्टिकोन हा व्यवहार्य धोरण आहे.,Adopting a user-centered approach is a realistic strategy in the design of both paper- and screen-based forms.,"वापरकर्ता-केंद्रित दृष्टिकोन स्वीकारणे, कागदावर आधारित आणि स्क्रीनवर आधारित असलेल्या दोन्ही फॉर्म्सच्या डिझाइनमध्ये एक वास्तववादी रणनीती आहे."
Morphological studies of paraquat or oxygen toxicity in rats have shown significant cellular damage in lung tissue.,,Morphological studies of paraquat- or oxygen-toxicity in rats have shown significant cellular damage in lung tissue.,उंदरांमधील पॅराक्वेट किंवा ऑक्सिजन विषारीपणाच्या रूपात्मक अभ्यासांनी फुफ्फुसाच्या ऊतीमध्ये लक्षणीय पेशींचे नुकसान दर्शविले आहे.
One should read G. V. Carey’s chapter Proof Correction in Mind the Stop.,एकवेळा वाचा ग. व्ही. केरीचे मनथ थांबवा या अध्यायातील पुरावा दुरुस्ती.,One should read G. V. Carey’s chapter ‘Proof Correction’ in Mind the Stop.,जी. व्ही. कॅरीचा 'माईंड द स्टॉप' मधील 'प्रूफ करेक्शन' हा अध्याय वाचला पाहिजे.
"The glass content of this material is low, 10% by weight, for this application.","या सामग्रीचे काच प्रमाण कमी आहे, १० टक्के वजनाने, ह्या अनुप्रयोगासाठी.","The glass content of this material is low, (10% by weight), for this application.",या सामग्रीतील काचेचे प्रमाण (वजनानुसार १०%) या उपयोगासाठी कमी आहे.
"During the experiment, the animals will be fed with water, via an automatic system, ad libitum.","प्रयोगादरम्यान प्राण्यांना पाणी मिळेल, स्वयंचलित प्रणालीद्वारे, अमर्यादपणे.","During the experiment, the animals will be fed with water, (via an automatic system), ad libitum.","प्रयोगादरम्यान, प्राण्यांना पाणी (स्वयंचलित प्रणालीद्वारे) इच्छेनुसार दिले जाईल."
a water:glycol ratio of 60:40 is preferred.,"पाण्याचा ग्लायकोलाइड गुणोत्तर ६० : ४० आहे, ते पसंत केले जाते.",a water/glycol ratio of 60/40 is preferred.,६०/४० पाण्याचे/ग्लायकॉलचे प्रमाण पसंत केले जाते.
It has thickness of only 16:240 inch.,ते केवळ १६ इंच जाड आहे.,It has thickness of only 16/240 inch.,त्याची जाडी फक्त १६/२४० इंच आहे.
