Punctuation Type,Sentence (Wrote),Sentence (Meant),DeepSeek
Comma,Steam for example is just as damaging as acid for that material.,"Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, स्टीम हा त्या सामग्रीसाठी अॅसिड इतकाच हानिकारक आहे."
Comma,"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हर्डी, पुचिनी, मोत्सार्ट आणि गिलबर्ट आणि सुलिव्हन आहेत."
Comma,The only problem with the new project established in the desert at high cost is the lack of good access roads.,"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",उच्च खर्चात वाळवंटात स्थापन केलेल्या नवीन प्रकल्पातील एकमेव समस्या म्हणजे चांगल्या प्रवेश रस्त्यांचा अभाव.
Comma,Having failed in all previous attempts he evolved a new plan which surprised everybody.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody.","सर्व मागील प्रयत्नांमध्ये अयशस्वी झाल्यानंतर, त्याने एक नवीन योजना तयार केली ज्याने सर्वांना आश्चर्यचकित केले."
Comma,When the film was developed none of the pictures proved satisfactory.,"When the film was developed, none of the pictures proved satisfactory.","जेव्हा फिल्म विकसित केली गेली, तेव्हा कोणतीही चित्रे समाधानकारक ठरली नाहीत."
Comma,The school has adequate study facilities but hardly any sports facilities.,"The school has adequate study facilities, but hardly any sports facilities.","शाळेकडे पुरेशा अभ्यास सुविधा आहेत, परंतु काहीच क्रीडा सुविधा नाहीत."
Comma,In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.","दैनंदिन वाहतुकीदरम्यान, कैरोच्या रहिवाशाला अनेकदा गुदमरून टाकणारे प्रदूषण जाणवते."
Comma,If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटकात संघर्ष आणि कवितेत रूपक असेल, तर काव्यात्मक नाटकात रूपकांचे नाट्यरूपांतर असले पाहिजे!"
Comma,Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.",आयटम ज्ञान नेटवर्कचे नोड्स म्हणून काम करतात आणि वापरकर्ता-परिभाषित संबंधक आयटम दरम्यानच्या दुवा म्हणून काम करतात.
Comma,A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तांत्रिक मजकूरांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहजपणे पुनर्प्राप्त करता येईल अशा स्वरूपात साठवली गेली आहे याची खात्री करणे आवश्यक असते.
Comma,The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.",कॅल्क्युलेटरने निवडलेली कार्ये कार्यान्वित केली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
Colon,"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","अनेक त्रासदायक घटक आहेत: थकवा, दुर्बल दृष्टी, वाचन क्षमतेचा अभाव, चिंता किंवा अयोग्य सावधगिरी, लक्ष विचलित होणे आणि अपुरी प्रेरणा."
Colon,"These are the components required motor brushes, bearings, and wiring.","These are the components required: motor brushes, bearings, and wiring.","हे आवश्यक घटक आहेत: मोटर ब्रश, बेअरिंग्ज आणि वायरिंग."
Colon,"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जेव्हा आवाजाचा स्रोत खोलीत किंवा इतर आवरणात कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाब दोन घटकांचा बनलेला असतो: थेट आवाज आणि प्रतिध्वनी आवाज."
Quotes,The crucial words in the specification are the signals must be routed internally.,The crucial words in the specification are ‘the signals must be routed internally’.,स्पेसिफिकेशनमधील निर्णायक शब्द आहेत: सिग्नल अंतर्गत मार्गनिर्देशित केले जाणे आवश्यक आहे.
Question Mark,Would you please supply a list of the correct settings for the ABC,Would you please supply a list of the correct settings for the ABC?,कृपया ABC साठी योग्य सेटिंग्जची यादी पुरवाल?
Semi Colon,Set BATTERY B switch to OFF set BATTERY C switch to ON.,Set BATTERY B switch to OFF; set BATTERY C switch to ON.,"BATTERY B स्विच OFF वर सेट करा, BATTERY C स्विच ON वर सेट करा."
Semi Colon,"What we see, we believe what we hear, we register","What we see, we believe; what we hear, we register","आपण जे पाहतो, ते आपण मानतो; आपण जे ऐकतो, ते आपण नोंदवतो."
Comma,"However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.","तथापि, जेव्हा रिएक्टिव्ह ऑक्सिजन स्पिशीजमध्ये वाढ झाल्यामुळे संतुलन बिघडते, तेव्हा ऑक्सिडेटिव्ह ताण निर्माण होतो."
Comma,Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत येईल आणि अशाप्रकारे सिस्टम जळलेल्या इंधनाची सुरक्षितपणे removal सुनिश्चित करते."
Comma,"At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्या, केवळ 7% निव्वळ नफा देणाऱ्या परताव्याच्या दरांमुळे उद्योगात स्पर्धा वाढली आहे आणि नफा मार्जिन कमी झाले आहेत."
Comma,"He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","तो याची तुलना नवजात मुलाच्या शिकण्याच्या प्रक्रियेशी करतो, जसजसे ते परिपक्वतेकडे वाढते आणि फ्रॉइडचे उद्धरण देतो: ""जिथे इड होती, तिथे अहं असेल."""
Comma,"Unfortunately though incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","Unfortunately though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","दुर्दैवाने, नकारात्मक आणि सकारात्मक दोन्ही प्रयोगांबद्दल चुकीच्या अंदाज केल्या गेल्या, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या."
Comma,Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,"Reject the applicant, using procedure XYZ to ensure compliance with standard evaluation protocols.","मानक मूल्यांकन प्रोटोकॉलचे पालन सुनिश्चित करण्यासाठी, XYZ प्रक्रिया वापरून अर्जदारास नकार द्या."
Comma,It represents an early quantifiable hyperplastic response of the tissue to injury.,"It represents an early, quantifiable, hyperplastic response of the tissue to injury.",हे उत्क्लिष्ट ऊतीच्या दुखापतीवर होणाऱ्या लवकर मोजता येणाऱ्या अतिवृद्धी प्रतिसादाचे प्रतिनिधित्व करते.
Comma,Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,"Return the XYZ to the operator, following the ABC routine to verify proper functioning and safety.","योग्य कार्य आणि सुरक्षितता सत्यापित करण्यासाठी, ABC रूटीननुसार XYZ ऑपरेटरकडे परत करा."
Comma,Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,"Insert the new disk into the disk drive, with the notch at the bottom facing the drive’s entry slot.",नवीन डिस्क डिस्क ड्राइव्हमध्ये अशा प्रकारे घाला की खाच तळाशी असून ती ड्राइव्हच्या प्रवेश स्लॉटच्या दिशेने असेल.
Comma,"Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.",Replace the fuel lines and electrical conduits which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.,"गळती रोखण्यासाठी आणि सुरक्षित कार्य सुनिश्चित करण्यासाठी, इंधन लाइन्स आणि इलेक्ट्रिकल कंड्युट्स बदला, ज्यामध्ये क्रॅक्स किंवा खराब झालेले बी-नट फिटिंग्ज आहेत."
Comma,The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,"The processor accepts data from input devices, and checks it before computing to ensure accuracy and prevent errors.",प्रोसेसर इनपुट डिव्हाइसेसकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी आणि त्रुटी टाळण्यासाठी संगणनापूर्वी त्याची तपासणी करतो.
Comma,"The orifice through which the exhaust gases leave the chamber, is larger than the intake valve opening.","The orifice, through which the exhaust gases leave the chamber is larger than the intake valve opening.","ज्या छिद्रातून एक्झॉस्ट वायू चेंबर सोडतात, ते इनटेक व्हॉल्व्ह ओपनिंगपेक्षा मोठे असते."
Comma,Take no action as the camera operates automatically under all lighting conditions.,"Take no action, as the camera operates automatically under all lighting conditions.","कोणतीही कृती करू नका, कारण कॅमेरा सर्व प्रकाश परिस्थितींमध्ये स्वयंचलितपणे कार्य करतो."
Comma,The species of fish supported by the reef are varied and abundant food supplies are available to sustain their populations.,"The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations.",प्रवाळाशी निगडीत माशांच्या प्रजाती विविध आहेत आणि त्यांची लोकसंख्या टिकवण्यासाठी पुरेशा प्रमाणात अन्नपुरवठा उपलब्ध आहे.
Comma,"At high temperatures, all the ceramic materials show ductility and hardness decreases considerably, leading to a higher risk of deformation under load.","At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load.","उच्च तापमानाला, सर्व सिरामिक सामग्री लवचिकता दर्शवतात आणि कठीणता लक्षणीयरीत्या कमी होते, ज्यामुळे भाराखाली विकृतीचा धोका वाढतो."
Comma,"This produces hard copy that can be retained but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","हे हार्ड कॉपी तयार करते जे जतन केले जाऊ शकते, परंतु मुद्रित पृष्ठे हाताळण्यासाठी बोजड असतात, म्हणून डिजिटल स्टोरेज आणि पाहणे बहुतेक वेळा प्राधान्य दिले जाते."
Comma,Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation and gateways into these networks are planned by the PTTs to ensure seamless data communication.,"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication.",पीटीटी-पुरवलेल्या पॅकेट-स्विच नेटवर्कशी कनेक्शन ही वर्कस्टेशनची प्रमुख आवश्यकता असेल आणि निर्बाध डेटा संप्रेषण सुनिश्चित करण्यासाठी या नेटवर्कमध्ये गेटवे पीटीटीद्वारे नियोजित केले आहेत.
Em Dash,The system consistently achieved 50 gallons per hour optimum output.,The system consistently achieved 50 gallons per hour — optimum output.,यंत्रणेने सातत्याने प्रति तास 50 गॅलन इष्टतम उत्पादन प्राप्त केले.
Hyphen,percentage reduction is critical: over and under reduction cause the ink to be very uneven and prone to smudging.,percentage reduction is critical: over- and underreduction cause the ink to be very uneven and prone to smudging.,टक्केवारीतील घट गंभीर आहे: अतिरिक्त आणि अपूर्ण घटामुळे शाई अत्यंत असमान होते आणि स्मजिंगची शक्यता वाढते.
Hyphen,Adopting a user-centered approach is a realistic strategy in the design of both paper and screen based forms.,Adopting a user-centered approach is a realistic strategy in the design of both paper- and screen-based forms.,कागद आणि स्क्रीन आधारित अशा दोन्ही फॉर्मच्या डिझाइनमध्ये वापरकर्ता-केंद्रित दृष्टीकोन स्वीकारणे ही एक वास्तववादी धोरण आहे.
Hyphen,Morphological studies of paraquat or oxygen toxicity in rats have shown significant cellular damage in lung tissue.,Morphological studies of paraquat- or oxygen-toxicity in rats have shown significant cellular damage in lung tissue.,उंदरांमध्ये पॅराक्वॅट किंवा ऑक्सिजन विषबाधेच्या आकारिकीय अभ्यासांमध्ये फुफ्फुस ऊतीमध्ये लक्षणीय पेशीय नुकसान दर्शविले आहे.
Quotes,One should read G. V. Carey’s chapter Proof Correction in Mind the Stop.,One should read G. V. Carey’s chapter ‘Proof Correction’ in Mind the Stop.,एखाद्याने जी. व्ही. केरीचे 'माइंड द स्टॉप' या पुस्तकातील 'प्रूफ करेक्शन' हे प्रकरण वाचावे.
Parenthesis,"The glass content of this material is low, 10% by weight, for this application.","The glass content of this material is low, (10% by weight), for this application.","या सामग्रीमधील काचेचे प्रमाण कमी आहे, वजनानुसार 10%, या वापरासाठी."
Parenthesis,"During the experiment, the animals will be fed with water, via an automatic system, ad libitum.","During the experiment, the animals will be fed with water, (via an automatic system), ad libitum.","प्रयोगादरम्यान, प्राण्यांना पाणी, स्वयंचलित प्रणालीद्वारे, मुक्तपणे खाऊ घातले जाईल."
Slash,a water:glycol ratio of 60:40 is preferred.,a water/glycol ratio of 60/40 is preferred.,60:40 चे पाणी:ग्लायकोल गुणोत्तर प्राधान्य दिले जाते.
Slash,It has thickness of only 16:240 inch.,It has thickness of only 16/240 inch.,याची जाडी केवळ 16:240 इंच आहे.
