src,prediction_mar,prediction_hin,gt_mar,gt_hin
"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","एकदा का कांदे अर्धपारदर्शक झाले की, मॅरिनेट केलेले मटण हळदीच्या पूडीसह घाला आणि सर्व मसाले मटणमध्ये सुमारे 5-6 मिनिटे शोषले जाईपर्यंत काही वेळ भाजून घ्या.","एक बार जब प्याज पारभासी हो जाए, तो मैरिनेटेड मटन को हल्दी पाउडर के साथ डालें और कुछ समय के लिए तब तक तलें जब तक कि सभी मसाले लगभग 5-6 मिनट के लिए मटन में अवशोषित न हो जाएं।","एकदा कांदा अर्धपारदर्शी झाला की, त्यात मुरवलेले मटण हळदपुडीसह टाका, आणि सगळे मसाले त्या मटणात शोषून घेतले जाईपर्यंत सुमारे ५ - ६ मिनिटे शिजवा.",प्याज जब पारभासी हो जाए तो उसमें मसालों के मिश्रण में कुछ समय से रखे गए मांस और पिसी हल्दी डाल कर 5-6 मिनट तक हल्का-सा तलते रहें जब तक कि मांस सभी मसालों को सोख न ले।
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","हितोपदेश हे पक्षी, प्राणी आणि मानवांच्या पात्रांद्वारे सादर केलेले सांसारिक शहाणपणाचे पुस्तक आहे.","हितोपदेश पक्षियों, जानवरों और मनुष्यों के चरित्रों के माध्यम से प्रस्तुत सांसारिक ज्ञान की एक पुस्तक है।","हितोपदेश हा पक्षी, पशू आणि मानवी पात्रांच्या माध्यमातून सादर केल्या जाणाऱ्या ऐहिक ज्ञानाचा ग्रंथ आहे.","हितोपदेश एक पुस्तक है जिसमें सांसारिक ज्ञान पक्षियों, पशुओं, और मनुष्यों के चरित्रों के माध्यम से प्रस्तुत किया गया है।"
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,या पुस्तकाचा उद्देश संस्कृत अभिव्यक्तीतील प्रावीण्य आणि सुज्ञ वर्तनाच्या ज्ञानाला प्रोत्साहन देणे असे दिसून येते.,पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और बुद्धिमान व्यवहार के ज्ञान को प्रोत्साहित करना प्रतीत होता है।,"संस्कृत अभिव्यक्तीमध्ये प्रावीण्य मिळवण्यास प्रोत्साहन मिळावे आणि सद्वर्तनाचे ज्ञान प्राप्त व्हावे, हा या पुस्तकाचा उद्देश दिसतो.",ऐसा प्रतीत होता है कि पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और विवेकपूर्ण व्यवहार के ज्ञान को प्रोत्साहित करना है।
Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,प्राध्यापक असिटकुमार बंदोपाध्याय यांनी 1994 आणि 1995 मध्ये हावडा सहरेर इतिब्रितो (पहिला आणि दुसरा खंड) या त्यांच्या मूळ गावी असलेल्या हावडाचा संपूर्ण इतिहास संकलित करण्यात अग्रगण्य भूमिका बजावली होती.,"प्रोफेसर असितकुमार बंदोपाध्याय ने 1994 और 1995 में अपने गृहनगर हावड़ा के पूरे इतिहास को संकलित करने में अग्रणी भूमिका निभाई, जिसका शीर्षक हावड़ा सहरेर इतिब्रितो (पहला और दूसरा खंड) था।","प्राध्यापक असितकुमार बंधोपाध्याय यांनी, १९९४ आणि १९९५ साली, हावडा या त्यांच्या मूळ शहराचा संपूर्ण इतिहास, हावडा शहरेर इतिबृत्तो (पहिला आणि दुसरा खंड) या नावाने संकलित करण्यात सिंहाचा वाटा उचलला.","प्रोफेसर असितकुमार बन्दोपाध्याय ने 1994 और 1995 में अपने गृह-नगर, हावड़ा के संपूर्ण इतिहास को हावड़ा शहरेर इतिवृत्त (पहला और दूसरा खंड) नाम से संकलित करने में महत्वपूर्ण भूमिका निभाई है।"
"The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","चैत्य सभागृहाच्या समोरील भागात अर्धवर्तुळाकार चैत्य कमानीच्या रचनेचे वर्चस्व आहे, ज्याच्या समोरील खुल्या बाजूला लाकडी दर्शनी भाग आहे आणि काही प्रकरणांमध्ये, तेथे प्रमुख चैत्य कमानी खिडकी नाही.","चैत्य हॉल के सामने एक अर्ध-वृत्ताकार चैत्य मेहराब के रूपांकन का प्रभुत्व है, जिसमें एक खुला सामने वाला हिस्सा है जिसमें लकड़ी का मुखौटा है और कुछ मामलों में, कोई प्रमुख चैत्य मेहराब की खिड़की नहीं है।.","चैत्य सभामंडपाच्या पुढील भागावर, समोरून खुल्या असलेल्या लाकडी दर्शनी भागाच्या एका अर्धगोलाकार चैत्य कमानीची ठळक आकृती आहे, आणि काही बाबतींत, तसे चैत्य कमानीचे ठळक गवाक्ष दिसत नाही.",चैत्य के सभागृह में सामने की ओर अर्ध-वृत्ताकार चैत्य चाप रूपांकित है जिसका सामने का हिस्सा खुला है जहां पर लकड़ी का भवनमुख है और किसी-किसी में मुख्य चैत्य चाप वाली खिड़की नहीं है।
Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years.,mar_Deva eng_Latn'महाराज'आणि'खानसामा'च्या पिढ्यांनी (ज्यांना भारतात पारंपरिकरित्या तज्ञ शेफ म्हटले जाते) शतकानुशतके पाककृती परिपूर्ण केल्या आहेत आणि या पाककृती हजारो वर्षांपासून तोंडी परंपरेतून गेल्या आहेत.,'महाराज'और'खानसामा'की पीढ़ियों (जैसा कि पारंपरिक रूप से भारत में विशेषज्ञ रसोइयों को कहा जाता है) ने सदियों से व्यंजनों को परिपूर्ण किया है और ये व्यंजन हजारों वर्षों से मौखिक परंपरा से गुजरे हैं।,"'महाराज' आणि 'खानसामे' (भारतात निष्णात स्वयंपाक्यांना पारंपरिकरित्या तसे म्हटले जाते) यांच्या पिढ्यांनी शतकानुशतके, पाककृतींमध्ये परिपूर्णता साध्य केली आहे आणि या पाककृती मौखिक परंपरेतून हजारो वर्षे चालत आल्या आहेत.",महाराजों और खानसामों (जैसा कि कुशल रसोइयों को परंपरागत रूप से भारत में कहा जाता है) की पीढ़ियों ने सदियों से इन पाक-विधियों को परिपूर्ण कर दिया है और अब ये पाक-विधियाँ सहस्रों वर्षों में मौखिक परमपरा के माध्यम से आगे बढ़ती आई हैं।
"The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.","ही तयारी पारंपरिकरित्या विस्ता वाझा किंवा मुख्य शेफद्वारे, वाझांच्या दरबार किंवा शेफच्या मदतीने केली जाते.","यह तैयारी पारंपरिक रूप से एक विशाल वज़ा, या मुख्य रसोइये द्वारा, वाज़ों, या रसोइयों के दरबार की सहायता से की जाती है।.","पारंपरिकरित्या, ही तयारी वस्ता वाझ किंवा प्रमुख स्वयंपाकी, वाझांच्या किंवा स्वयंपाक्यांच्या ताफ्याच्या साह्याने करतो.","पारंपरिक रूप से रसोइयों के दल की सहायता से तैयारी वास्ता वाज़ा, या प्रधान रसोइये द्वारा की जाती है।"
"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav).","पाव भाजीः हा महाराष्ट्रातील एक फास्ट फूड पदार्थ आहे, ज्यामध्ये एक जाड भाजी (भाजी) असते, जी सहसा लोणात तयार केली जाते आणि मऊ भाकरीच्या रोलसह (पाव) सर्व्ह केली जाते.","पाव भाजीः यह महाराष्ट्र का एक फास्ट फूड व्यंजन है, जिसमें एक मोटी सब्जी की करी (भाजी) होती है जो आमतौर पर मक्खन में तैयार की जाती है और एक नरम ब्रेड रोल (पाव) के साथ परोसी जाती है।","पावभाजी: हा महाराष्ट्रातील 'फास्ट फूड' खाद्यपदार्थ आहे, ज्यात बहुधा लोण्यात बनवलेले दाट कालवण (भाजी) मऊ गोल पावासोबत (पाव) दिले जाते.","पाव भाजी: यह महाराष्ट्र का एक फास्ट फूड व्यंजन है, जिसमें सब्जियों का गाढ़ा मिश्रण होता है जिसे सामान्यतया मक्खन में पकाया जाता है और एक नर्म ब्रेड रोल (पाव) के साथ परोसा जाता है।"
"The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabai's compositions in Rajasthani is known for unique devotional quality, Andal's mysticism in Tamil and Akka Mahadevi's vachanas in Kannnada are testimonies to the great contribution of women to the literature of the time.","लाल देद आणि हब्बा खातून यांच्या काश्मिरी रचना त्यांच्या गूढ चव आणि अभिव्यक्तीच्या तीव्र वेदनांसाठी ओळखल्या जातात, राजस्थानीमधील मीराबाईंच्या रचना अद्वितीय भक्ती गुणवत्तेसाठी ओळखल्या जातात, तामीळमधील अंदालचा गूढवाद आणि कन्ननाडमधील अक्का महादेवीची वचने ही त्या काळातील साहित्यातील महिलांच्या महान योगदानाची साक्ष आहेत.","लाल देड़ और हब्बा खातून की कश्मीरी रचनाएँ अपने रहस्यमय स्वाद और अभिव्यक्ति की तीव्र पीड़ा के लिए जानी जाती हैं, राजस्थानी में मीराबाई की रचनाएँ अद्वितीय भक्ति गुण के लिए जानी जाती हैं, तमिल में अंडाल का रहस्यवाद और कन्नड़ में अक्क महादेवी के वचन उस समय के साहित्य में महिलाओं के महान योगदान के प्रमाण हैं।","लाल डेड आणि हब्बा खातूनच्या काश्मिरी रचना, त्यांच्यातील गूढ रस आणि तीव्र वेदनांची अभिव्यक्ती यासाठी ओळखल्या जातात, तर राजस्थानीतील मीराबाईच्या रचना ह्या आगळ्यावेगळ्या भक्तीमय गुणांसाठी ज्ञात आहेत; तामीळमधील अंदलचा गूढवाद आणि कन्नडमधील अक्कामहादेवीची वचने, हे तत्कालीन साहित्यातील, महिलांच्या महान योगदानाची साक्ष देते.","हब्बा खातून और लल्ल-द्यद की कश्मीरी रचनाएं उनके आध्यात्मिक अंदाज़ और गहन भावनाओं की अभिव्यक्ति के लिए जानी जाती हैं, राजस्थान में मीराबाई की रचनाएं उनकी अद्वितीय भक्ति के लिए लोकप्रिय हैं, तमिल में आण्डाल का गूढ़ ज्ञान तथा कन्नड़ में अक्का महादेवी के वचन उस समय के साहित्य में महिलाओं के व्यापक योगदान के प्रमाण हैं।"
"The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from the Dhar district of Madhya Pradesh.",बौद्ध भित्तीचित्रांनी बनलेल्या बाग लेण्या मध्य प्रदेशातील धार जिल्ह्यापासून 97 <ID1>. अंतरावर आहेत.,बौद्ध भित्ति चित्रों से बनी बाग गुफाएं मध्य प्रदेश के धार जिले से 97 कि. मी. दूर स्थित हैं।,बौद्ध भित्तिचित्रे असलेली बाघ लेणी ही मध्य प्रदेशच्या धार जिल्ह्यापासून ९७ कि. मी. वर आहेत.,"बाघ गुफाएं, जिनमें बौद्ध भित्ति चित्र बने हुए हैं, मध्य प्रदेश के धार ज़िले से 97 कि.मी. की दूरी पर स्थित हैं।"
"The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree, but figuratively, the foot or lowest part or bottom of anything.","संस्कृत साहित्यातील मुला या शब्दाचा नेहमीचा अर्थ वनस्पती किंवा झाडाचे मूळ असा आहे, परंतु अलंकारिकदृष्ट्या, पाय किंवा कोणत्याही गोष्टीचा सर्वात खालचा भाग किंवा तळ असा आहे.","संस्कृत साहित्य में मुला शब्द का सामान्य अर्थ एक पौधे या पेड़ की जड़ है, लेकिन आलंकारिक रूप से, पैर या सबसे निचला हिस्सा या किसी भी चीज़ का निचला हिस्सा।","संस्कृत साहित्यामध्ये 'मूल' या शब्दाचा अर्थ सामान्यतः, वनस्पतीचे किंवा वृक्षाचे मूळ असा होतो, परंतु अलंकारिकदृष्ट्या, कोणत्याही गोष्टीचा पाया किंवा खालचा भाग किंवा तळ असा अर्थ होतो.","संस्कृत साहित्य में मूल शब्द का सामान्य अर्थ है किसी पौधे या वृक्ष की जड़, किंतु लाक्षणिक रूप में, यह किसी भी वस्तु का निचला हिस्सा या तल हो सकता है।"
Indus Valley Civilisation is known for its technological knowledge in a variety of fields.,सिंधू खोर\u093C्याची संस्कृती विविध क्षेत्रातील तांत्रिक ज्ञानासाठी ओळखली जाते.,सिंधु घाटी सभ्यता विभिन्न क्षेत्रों में अपने तकनीकी ज्ञान के लिए जानी जाती है।,सिंधूच्या खोऱ्यातील संस्कृती ही विविध क्षेत्रांमधील तिच्या तांत्रिक ज्ञानासाठी ओळखली जाते.,सिंधु घाटी सभ्यता विभिन्न क्षेत्रों में अपने तकनीकी ज्ञान के लिए जानी जाती है।
All the Kauravas die; only the five Pandava brothers and Krishna survive.,सर्व कौरवांचा मृत्यू होतो; केवळ पाच पांडव बंधू आणि कृष्ण जिवंत उरले आहेत.,सभी कौरव मर जाते हैं; केवल पाँच पांडव भाई और कृष्ण बच जाते हैं।,सर्व कौरव मृत्युमुखी पडतात; केवळ पाच पांडव बंधू आणि कृष्णाचा बचाव होतो.,सभी कौरव मर जाते हैं; केवल पाँच पांडव भाई और कृष्ण जीवित बचते हैं।
The battle rages for eighteen days and ends with the defeat of the Kauravas.,ही लढाई अठरा दिवस सुरू राहते आणि कौरवांच्या पराभवानंतर संपते.,युद्ध अठारह दिनों तक चलता है और कौरवों की हार के साथ समाप्त होता है।,युद्ध अठरा दिवस चालते आणि कौरवांच्या पराभवानिशी संपुष्टात येते.,युद्ध अठारह दिनों तक चलता रहता है और कौरवों की पराजय के साथ समाप्त होता है।
"The central story of the Mahabharata is a conflict over succession to the throne of Hastinapura, a kingdom just north of modern Delhi that was the ancestral realm of a tribe most commonly known as the Bharatas.","आधुनिक दिल्लीच्या अगदी उत्तरेस असलेले हस्तिनापूर हे राज्य, जे सामान्यतः भरत म्हणून ओळखल्या जाणार\u093C्या जमातीचे पूर्वजांचे राज्य होते, त्या हस्तिनापूरच्या सिंहासनाच्या वारसाहक्काबाबतचा संघर्ष ही महाभारताची मध्यवर्ती कथा आहे.","महाभारत की केंद्रीय कहानी हस्तिनापुर के सिंहासन के उत्तराधिकार पर एक संघर्ष है, जो आधुनिक दिल्ली के ठीक उत्तर में एक राज्य था जो एक जनजाति का पैतृक क्षेत्र था जिसे आमतौर पर भारत के रूप में जाना जाता था।","आधुनिक दिल्लीच्या जवळच उत्तरेस, भारत या नावाने सामान्यतः ओळखल्या जाणाऱ्या जमातीचा प्राचीन प्रांत असलेल्या, हस्तिनापूर या राज्याच्या सिंहासनाच्या उत्तराधिकाराबाबतचा संघर्ष, ही महाभारताची मध्यवर्ती कथा आहे.","महाभारत की केंद्रीय कथा हस्तिनापुर के सिंहासन पर उत्तराधिकार के लिए संघर्ष की कहानी है, एक ऐसा राज्य जो आधुनिक दिल्ली के ठीक उत्तर में है और जो भरत नाम से जानी जाने वाली एक जनजाति का पैतृक क्षेत्र है।"
"The number of vegetarians exceeds the number of non-vegetarians in Karnataka; therefore, their cuisine mainly consists of vegetarian dishes.","कर्नाटकातील मांसाहारी लोकांची संख्या मांसाहारी लोकांच्या संख्येपेक्षा जास्त आहे; म्हणून, त्यांच्या पाककृतींमध्ये प्रामुख्याने शाकाहारी पदार्थांचा समावेश आहे.","कर्नाटक में शाकाहारियों की संख्या मांसाहारियों की संख्या से अधिक है; इसलिए, उनके व्यंजनों में मुख्य रूप से शाकाहारी व्यंजन शामिल हैं।",कर्नाटकात मांसाहारींपेक्षा शाकाहारींची संख्या जास्त आहे; त्यामुळे त्यांच्या पाककृतींत मुख्यत्वे शाकाहारी पदार्थांचा समावेश असतो.,कर्नाटक में शाकाहारी लोगों की संख्या मांसाहारी लोगों से अधिक है; इसलिए उनके भोजन में मुख्य रूप से शाकाहारी व्यंजन होते हैं।
"He is answered by Sanjaya, who relates what is happening on the battlefield.","त्याला संजय उत्तर देतो, जो युद्धभूमीवर काय घडत आहे ते सांगतो.","उसे संजय द्वारा जवाब दिया जाता है, जो बताता है कि युद्ध के मैदान में क्या हो रहा है।","त्याला संजय उत्तर देतो, जो युद्धभूमीवर काय घडत आहे ते कथन करतो.","उन्हें संजय से, जो उन्हें बता रहा है कि युद्ध के मैदान में क्या हो रहा है, उत्तर मिलता है।"
The two epics found in Tamil are Cilapathikaram and Manimekalai.,सिलापथिकरम आणि मणिमेकलाई ही तामिळमध्ये आढळणारी दोन महाकाव्ये आहेत.,तमिल में पाए जाने वाले दो महाकाव्य सिलापथिकरम और मणिमेकलाई हैं।,तामीळमध्ये आढळून येणारी दोन महाकाव्ये म्हणजे शिलप्पधिकारम् आणि मणिमेखलै.,तमिल में मिलने वाले दो महाकाव्य सिलप्पदिकारम् और मणिमेकलै हैं।
The use of chilli powder in this region is done cautiously.,या भागात मिरची पावडरचा वापर सावधगिरीने केला जातो.,इस क्षेत्र में मिर्च पाउडर का उपयोग सावधानी से किया जाता है।,या भागात मिरचीपुडीचा वापर जपून केला जातो.,इस क्षेत्र में मिर्च के पाउडर का उपयोग सावधानी से किया जाता है।
