src,prediction,gt,gemini,cfilt
Steam for example is just as damaging as acid for that material.,"उदाहरणार्थ, वाफ ही त्या पदार्थासाठी आम्लाइतकीच हानीकारक असते.","उदाहरणार्थ, वाफ त्या पदार्थासाठी आम्लाइतकीच हानीकारक असते.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे.","उदाहरणार्थ, वाफ ही त्या पदार्थासाठी आम्लाइतकीच हानीकारक असते."
"My favourite opera composers are Verdi, Puccini, Mozart and Gilbert and Sullivan.","वर्डी, पुक्किनी, मोझार्ट आणि गिल्बर्ट आणि सुलिवान हे माझे आवडते ऑपेरा संगीतकार आहेत.","वर्डी, पुक्कीनी, मोझार्ट आणि गिल्बर्ट आणि सुलिवान हे माझे आवडते ऑपेरा संगीतकार आहेत.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत.","वर्डी, पुक्किनी, मोझार्ट आणि गिल्बर्ट आणि सुलिव्हन हे माझे आवडते ऑपेरा संगीतकार आहेत."
The only problem with the new project established in the desert at high cost is the lack of good access roads.,वाळवंटात मोठ्या खर्चात उभारण्यात आलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या रस्त्यांचा अभाव.,मोठ्या खर्चात वाळवंटात उभारण्यात आलेल्या या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या रस्त्यांचा अभाव.,मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.,वाळवंटात मोठ्या खर्चात उभारण्यात आलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश रस्त्यांचा अभाव.
Having failed in all previous attempts he evolved a new plan which surprised everybody.,मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना तयार केली ज्यामुळे सर्वांनाच आश्चर्य वाटले.,मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना विकसित केली ज्याने सर्वांना आश्चर्यचकित केले.,"मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले.","मागील सर्व प्रयत्नांमध्ये अयशस्वी झाल्यानंतर, त्याने एक नवीन योजना तयार केली ज्यामुळे सर्वांना आश्चर्य वाटले."
When the film was developed none of the pictures proved satisfactory.,जेव्हा हा चित्रपट तयार करण्यात आला तेव्हा एकही चित्र समाधानकारक ठरले नाही.,"जेव्हा हा चित्रपट बनवला गेला, तेव्हा एकही चित्र समाधानकारक ठरले नाही.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.,"जेव्हा हा चित्रपट विकसित करण्यात आला, तेव्हा एकही चित्र समाधानकारक ठरले नाही."
The school has adequate study facilities but hardly any sports facilities.,"शाळेत अभ्यासाच्या पुरेशा सुविधा आहेत, परंतु क्वचितच क्रीडा सुविधा आहेत.","शाळेत अभ्यासाच्या पुरेशा सुविधा आहेत, परंतु क्वचितच क्रीडा सुविधा आहेत.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच.","शाळेत अभ्यासाच्या पुरेशा सुविधा आहेत, परंतु क्वचितच क्रीडा सुविधा आहेत."
In his daily traffickings a Cairene resident is often made conscious of the suffocating pollution.,त्याच्या दैनंदिन तस्करीमध्ये कॅरेनच्या रहिवाशाला अनेकदा गुदमरणाऱ्या प्रदूषणाची जाणीव करून दिली जाते.,"त्याच्या दैनंदिन व्यवहारांमध्ये, कॅरेनच्या रहिवाशांना अनेकदा गुदमरणाऱ्या प्रदूषणाची जाणीव करून दिली जाते.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.,"त्याच्या दैनंदिन तस्करीमध्ये, कॅरेनच्या रहिवाशांना अनेकदा गुदमरणाऱ्या प्रदूषणाची जाणीव करून दिली जाते."
If drama implies conflict and poetry metaphor then poetic drama must imply the dramatization of metaphor!,"जर नाटक म्हणजे संघर्ष आणि काव्याचे रूपक असेल तर काव्यात्मक नाटक म्हणजे रूपकाचे नाट्यीकरण असणे आवश्यक आहे, असे म्हटले जाते.","जर नाटक म्हणजे संघर्ष आणि काव्य रूपक असेल, तर काव्यात्मक नाटक म्हणजे रूपकाचे नाट्यरूपण!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!","जर नाटक हे संघर्ष आणि काव्याचे रूपक सूचित करते, तर काव्यात्मक नाटक हे रूपकाचे नाट्यीकरण सूचित करते!"
Items serve as the nodes of the knowledge network and user-defined relators serve as the links between items.,वस्तू ज्ञानाच्या जाळ्याचे नोड्स म्हणून काम करतात आणि वापरकर्ता-परिभाषित रिलेटर वस्तूंमधील दुवे म्हणून काम करतात.,वस्तू ज्ञान जाळ्याचे केंद्र म्हणून काम करतात आणि वापरकर्ता-परिभाषित रिलेटर वस्तूंमधील दुवे म्हणून काम करतात.,"वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात.",आयटम नॉलेज नेटवर्कचे नोड्स म्हणून काम करतात आणि वापरकर्ता-परिभाषित रिलेटर आयटममधील दुवे म्हणून काम करतात.
A translator of technical texts often has to handle large amounts of information and needs to ensure that it is stored in an easily retrievable form.,तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहजपणे पुनर्प्राप्त करता येण्याजोग्या स्वरूपात साठवली गेली आहे याची खात्री करणे आवश्यक असते.,तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहजपणे पुनर्प्राप्त करण्यायोग्य स्वरूपात संग्रहित केली गेली आहे याची खात्री करणे आवश्यक असते.,तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.,तांत्रिक ग्रंथांच्या अनुवादकाला बर्याचदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहजपणे पुनर्प्राप्त करण्यायोग्य स्वरूपात संग्रहित केली गेली आहे याची खात्री करणे आवश्यक आहे.
The calculator executed the functions that had been selected and displayed the results on the top half of the screen.,कॅल्क्युलेटरने निवडलेली कार्ये अंमलात आणली आणि स्क्रीनच्या वरच्या अर्ध्या भागावर परिणाम प्रदर्शित केले.,कॅल्क्युलेटरने निवडलेली कार्ये अंमलात आणली आणि स्क्रीनच्या वरच्या अर्ध्या भागात परिणाम प्रदर्शित केले.,कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.,कॅल्क्युलेटरने निवडलेली फंक्शन्स कार्यान्वित केली आणि स्क्रीनच्या वरच्या अर्ध्या भागात निकाल प्रदर्शित केले.
"There are many disturbing factors fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","थकवा, दृष्टीची कमतरता, वाचनाची कमकुवत क्षमता, चिंता किंवा अनावश्यक सावधगिरी, लक्ष विचलित करणे आणि अपुरी प्रेरणा असे अनेक त्रासदायक घटक आहेत.","अनेक त्रासदायक घटक आहेतः थकवा, दृष्टीची कमतरता, वाचण्याची कमकुवत क्षमता, चिंता किंवा अनावश्यक सावधगिरी, लक्ष विचलित होणे आणि अपुरी प्रेरणा.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा.","अनेक त्रासदायक घटक आहेतः थकवा, कमकुवत दृष्टी, खराब वाचन क्षमता, चिंता किंवा अनावश्यक सावधगिरी, लक्ष विचलित करणे आणि अपुरी प्रेरणा."
"These are the components required motor brushes, bearings, and wiring.","हे मोटर ब्रश, बियरिंग आणि वायरिंगसाठी आवश्यक असलेले घटक आहेत.","हे आवश्यक घटक आहेतः मोटर ब्रश, बीयरिंग आणि वायरिंग.","आवश्यक असलेले घटक खालीलप्रमाणे आहेत: मोटार ब्रशेस, बेअरिंग्ज आणि वायरिंग.","हे घटक आवश्यक आहेतः मोटर ब्रश, बीयरिंग आणि वायरिंग."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components direct sound and reverberant sound.","जेव्हा आवाजाचा स्रोत एखाद्या खोलीत किंवा इतर आवारामध्ये कार्यरत असतो, तेव्हा खोलीतील आवाजाच्या दाबामध्ये थेट आवाज आणि प्रतिध्वनित आवाज असे दोन घटक असतात.","जेव्हा आवाजाचा स्रोत एखाद्या खोलीत किंवा इतर आवारात कार्यरत असतो, तेव्हा खोलीतील आवाजाच्या दाबामध्ये दोन घटक असतातः थेट आवाज आणि प्रतिध्वनित आवाज.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी.","जेव्हा आवाजाचा स्रोत एखाद्या खोलीत किंवा इतर आवारामध्ये कार्यरत असतो, तेव्हा खोलीतील आवाजाच्या दाबात दोन घटक असतातः थेट आवाज आणि प्रतिध्वनित आवाज."
The crucial words in the specification are the signals must be routed internally.,विशिष्टतेतील महत्त्वाचे शब्द म्हणजे संकेत अंतर्गतपणे मार्गी लावले जाणे आवश्यक आहे.,विशिष्टतेतील महत्त्वाचे शब्द म्हणजे'संकेत अंतर्गत मार्गस्थ होणे आवश्यक आहे'.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.,विशिष्टतेमधील महत्त्वाचे शब्द म्हणजे 'सिग्नल्स अंतर्गतपणे रूट करणे आवश्यक आहे'.
Would you please supply a list of the correct settings for the ABC,कृपया तुम्ही ए. बी. सी. साठी योग्य सेटिंग्जची यादी देऊ कराल का?.,तुम्ही कृपया ए. बी. सी. साठी योग्य सेटिंग्जची यादी पुरवाल का?,कृपया 'एबीसी' साठी योग्य सेटिंग्जची एक यादी पुरवाल का?,कृपया तुम्ही ए. बी. सी. साठी योग्य सेटिंग्जची यादी द्याल का?
Set BATTERY B switch to OFF set BATTERY C switch to ON.,बॅटरी ब स्विच बंद सेट बॅटरी सी स्विच चालू करण्यासाठी सेट करा.,बॅटरी बी स्विच बंद करण्यासाठी सेट करा; बॅटरी सी स्विच चालू करण्यासाठी सेट करा.,बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.,BATTERY B स्विच बंद करण्यासाठी सेट करा. BATTERY C स्विच ON वर सेट करा.
"What we see, we believe what we hear, we register","आपण जे पाहतो, जे ऐकतो त्यावर आपण विश्वास ठेवतो, नोंदणी करतो.","आपण जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो.","जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो.","आपण जे पाहतो त्यावर विश्वास ठेवतो. आपण जे ऐकतो, आपण नोंदणी करतो."
"However oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species","तथापि, प्रतिक्रियाशील प्राणवायूच्या प्रजातींमध्ये वाढ झाल्यामुळे संतुलन बिघडते तेव्हा ऑक्सिडेटिव्ह ताण उद्भवतो.","तथापि, प्रतिक्रियाशील ऑक्सिजन प्रजातींच्या वाढीमुळे संतुलन बिघडते तेव्हा ऑक्सिडेटिव्ह ताण येतो.","तथापि, जेव्हा समतोल बिघडतो, तेव्हा प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे ऑक्सिडेटिव्ह ताण होतो.","तथापि, प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे संतुलन बिघडते तेव्हा ऑक्सिडेटिव्ह ताण उद्भवतो."
Should any burner fail to ignite its respective section will revert to 'purge' and in this way the system ensures safe removal of unburned fuel,जर कोणतेही बर्नर प्रज्वलित करण्यात अयशस्वी ठरले तर त्याचा संबंधित विभाग'शुद्धी'कडे परत जाईल आणि अशा प्रकारे प्रणाली जळत नसलेले इंधन सुरक्षितपणे काढून टाकण्याची खात्री करते.,"जर कोणत्याही बर्नरला आग लागली नाही, तर त्याचा संबंधित विभाग'पर्ज'वर परत येईल आणि अशा प्रकारे प्रणाली न जळलेले इंधन सुरक्षितपणे काढून टाकण्याची खात्री करते.","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत जाईल आणि अशा प्रकारे प्रणाली न जळलेल्या इंधनाची सुरक्षित विल्हेवाट सुनिश्चित करते.","जर कोणत्याही बर्नरला आग लागली नाही, तर त्याचा संबंधित भाग पुन्हा 'पर्ज' वर परत येईल आणि अशा प्रकारे प्रणाली जळत नसलेले इंधन सुरक्षितपणे काढून टाकण्याची खात्री करते."
"At present rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्या या उद्योगात केवळ 7 टक्के निव्वळ नफा देणारे परताव्याचे दर व्यापक आहेत, जे वाढलेली स्पर्धा आणि अधिक कडक नफा मार्जिन दर्शवतात.","सध्या, केवळ 7 टक्के निव्वळ नफा देणारे परताव्याचे दर उद्योगात व्यापक आहेत, जे वाढीव स्पर्धा आणि कडक नफा मार्जिन दर्शवतात.","सध्या उद्योगात केवळ ७% निव्वळ नफा देणारे परताव्याचे दर सर्वत्र पसरलेले आहेत, ज्यामुळे वाढलेली स्पर्धा आणि नफ्याचे घट्ट मार्जिन दिसून येते.","सध्या, केवळ 7 टक्के निव्वळ नफा देणारे परताव्याचे दर उद्योगात व्यापक आहेत, जे वाढलेली स्पर्धा आणि अधिक कडक नफा मार्जिन दर्शवतात."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity and quotes Freud: ""Where id was, there ego shall be.""","हे आणि नवजात मुलाची शिकण्याची प्रक्रिया जसजशी परिपक्वतेमध्ये विकसित होते तसतशी त्याची तुलना तो करतो आणि फ्रायडचा उल्लेख करतोः ""जिथे ओळख होती, तिथे अहंकार असेल"".","जसजसे ते परिपक्व होत जाते तसतसे ते हे आणि नवजात बाळाच्या शिकण्याच्या प्रक्रियेची तुलना करतात आणि फ्रायडचे उद्धरण करतातः ""जिथे आयडी होता, तिथे अहंकार असेल"".","तो याची तुलना नवजात बालक प्रौढत्वाकडे विकसित होत असतानाच्या अध्ययन प्रक्रियेशी करतो आणि फ्रॉइडचे उद्धृत करतो: ""जिथे इड होते, तिथे इगो असेल.""","तो हे आणि नवजात मुलाची शिकण्याची प्रक्रिया जसजशी ती परिपक्वतेमध्ये विकसित होते तसतशी तुलना करतो आणि फ्रायडचा हवाला देतोः ""जिथे आयडी होती, तिथे अहंकार असेल""."
"Unfortunately though incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","दुर्दैवाने जरी नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे भाकीत केले गेले असले, तरी यामुळे अंतर्निहित मॉडेलच्या विश्वासार्हतेबद्दल शंका निर्माण झाली.","दुर्दैवाने, नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे अंदाज वर्तवण्यात आले होते, ज्यामुळे अंतर्निहित प्रतिकृतीच्या विश्वासार्हतेबद्दल शंका निर्माण झाली.","तरीही दुर्दैवाने, नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे अंदाज वर्तवले गेले, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या.","दुर्दैवाने, नकारात्मक आणि सकारात्मक दोन्ही प्रयोगांबद्दल चुकीचे अंदाज लावले गेले, ज्यामुळे अंतर्निहित मॉडेलच्या विश्वासार्हतेबद्दल शंका निर्माण झाली."
Reject the applicant using procedure XYZ to ensure compliance with standard evaluation protocols.,प्रमाणित मूल्यमापन नियमावलीचे पालन सुनिश्चित करण्यासाठी XYZ प्रक्रिया वापरून अर्जदाराला नाकारावे.,प्रमाणित मूल्यमापन प्रोटोकॉलचे पालन सुनिश्चित करण्यासाठी XYZ प्रक्रिया वापरून अर्जदाराला नाकारावे.,मानक मूल्यांकन नियमांचे पालन सुनिश्चित करण्यासाठी 'XYZ' कार्यपद्धतीचा वापर करून अर्जदाराला नाकारा.,प्रमाणित मूल्यांकन प्रोटोकॉलचे पालन सुनिश्चित करण्यासाठी XYZ प्रक्रिया वापरून अर्जदाराला नाकारणे.
It represents an early quantifiable hyperplastic response of the tissue to injury.,हे दुखापतीसाठी ऊतींच्या सुरुवातीच्या मोजता येण्याजोग्या हायपरप्लास्टिक प्रतिसादाचे प्रतिनिधित्व करते.,"हे दुखापतीसाठी ऊतींच्या लवकर, परिमाणात्मक, हायपरप्लास्टिक प्रतिसादाचे प्रतिनिधित्व करते.","ते दुखापतीनंतर ऊतीचा लवकरचा, मोजता येण्याजोगा, हायपरप्लास्टिक प्रतिसाद दर्शविते.","हे दुखापतीसाठी ऊतींचा प्रारंभिक, परिमाणात्मक, हायपरप्लास्टिक प्रतिसाद दर्शविते."
Return the XYZ to the operator following the ABC routine to verify proper functioning and safety.,योग्य कार्य आणि सुरक्षिततेची पडताळणी करण्यासाठी ए. बी. सी. दिनचर्येचे पालन करून एक्स. वाय. झेड. ऑपरेटरला परत करा.,योग्य कार्य आणि सुरक्षिततेची पडताळणी करण्यासाठी ए. बी. सी. नियमाचे पालन करून XYZ ऑपरेटरला परत करा.,योग्य कार्यप्रणाली आणि सुरक्षितता सत्यापित करण्यासाठी 'एबीसी' नियमांचे पालन करून 'XYZ' ऑपरेटरला परत करा.,योग्य कार्य आणि सुरक्षितता तपासण्यासाठी ए. बी. सी. रुटीनचे अनुसरण करून XYZ ऑपरेटरला परत करा.
Insert the new disk into the disk drive with the notch at the bottom facing the drive’s entry slot.,"डिस्क ड्राइव्हमध्ये नवीन डिस्क घाला, ज्याच्या तळाशी ड्राइव्हच्या प्रवेश स्लॉटला तोंड देणारी खाच आहे.","डिस्क ड्राइव्हमध्ये नवीन डिस्क घाला, ज्यात ड्राइव्हच्या प्रवेश स्लॉटच्या समोर तळाशी खाच आहे.","नवीन डिस्क डिस्क ड्राइव्हमध्ये घाला, ज्याचा तळाशी असलेला नॉच ड्राइव्हच्या प्रवेश स्लॉटकडे तोंड करून असेल.","डिस्क ड्राइव्हमध्ये नवीन डिस्क समाविष्ट करा, ज्याच्या तळाशी नोच ड्राइव्हच्या एंट्री स्लॉटच्या समोर आहे."
"Replace the fuel lines and electrical conduits, which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.","गळती टाळण्यासाठी आणि सुरक्षित ऑपरेशन सुनिश्चित करण्यासाठी इंधन तार आणि विद्युत वाहिन्या बदला, ज्यात फाटले आहेत किंवा बी-नट फिटिंग खराब झाले आहेत.","गळती टाळण्यासाठी आणि सुरक्षित कार्य सुनिश्चित करण्यासाठी इंधन वाहिन्या आणि विद्युत वाहिन्या, ज्यात भेगा पडल्या आहेत किंवा बी-नट फिटिंग्ज खराब झाल्या आहेत, त्या बदला.","ज्या इंधन लाईन्स आणि इलेक्ट्रिकल कंड्युईट्सना तडे गेले आहेत किंवा बी-नट फिटिंग्ज खराब झाली आहेत, त्यांना गळती टाळण्यासाठी आणि सुरक्षित कामकाज सुनिश्चित करण्यासाठी बदला.","गळती टाळण्यासाठी आणि सुरक्षित ऑपरेशन सुनिश्चित करण्यासाठी, ज्या इंधन लाइन आणि विद्युत वाहिन्यांमध्ये भेगा आहेत किंवा खराब झालेल्या बी-नट फिटिंग्ज आहेत त्या बदला."
The processor accepts data from input devices and checks it before computing to ensure accuracy and prevent errors.,प्रोसेसर इनपुट उपकरणांमधून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी आणि त्रुटी टाळण्यासाठी संगणनापूर्वी त्याची तपासणी करतो.,प्रोसेसर इनपुट उपकरणांमधून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी आणि त्रुटी टाळण्यासाठी संगणनापूर्वी त्याची तपासणी करतो.,प्रोसेसर इनपुट उपकरणांकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी व त्रुटी टाळण्यासाठी तो गणनेपूर्वी तपासतो.,प्रोसेसर इनपुट उपकरणांमधून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी आणि त्रुटी टाळण्यासाठी संगणनापूर्वी तो तपासतो.
