Sentence,Response,sent_meant,gt
"Steam, for example, is just as damaging as acid for that material.","वायू, उदाहरणार्थ, त्या पदार्थासाठी तितकेच नुकसान करणारे आहे किंवा क्षारासारखे.","Steam, for example, is just as damaging as acid for that material.","उदाहरणार्थ, त्या सामग्रीसाठी वाफ ॲसिडइतकीच हानिकारक आहे."
"My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हर्डी, पुचिनी, मोझार्ट आणि गिल्बर्ट आणि सुलिव्हन आहेत.","My favourite opera composers are Verdi, Puccini, Mozart, and Gilbert and Sullivan.","माझे आवडते ऑपेरा संगीतकार व्हेर्डी, पुचिनी, मोझार्ट, आणि गिल्बर्ट व सुलिव्हन हे आहेत."
"The only problem with the new project, established in the desert at high cost, is the lack of good access roads.","नवीन प्रकल्पाची एकमेव समस्या ही त्याची उंच खर्चाने शेतात स्थापन झालेली आहे, ती आहे रस्त्यांची चांगली पोहोचण्याची कमी.","The only problem with the new project, established in the desert at high cost, is the lack of good access roads.",मोठ्या खर्चात वाळवंटी प्रदेशात उभारलेल्या नवीन प्रकल्पाची एकमेव समस्या म्हणजे चांगल्या प्रवेश मार्गांची कमतरता आहे.
"Having failed in all previous attempts, he evolved a new plan which surprised everybody.",पूर्वी केल्या सर्व प्रयत्नांच्या निराशेनंतर त्याने एक नवीन योजना तयार केली जी सर्वांना आश्चर्यचाच वाटली.,"Having failed in all previous attempts, he evolved a new plan which surprised everybody.","मागील सर्व प्रयत्नांमध्ये अपयशी ठरल्यानंतर त्याने एक नवीन योजना आखली, ज्यामुळे सर्वांना आश्चर्य वाटले."
"When the film was developed, none of the pictures proved satisfactory.","चित्रांच्या विकासानंतर, कोणतेही चित्र संतोषजनक ठरले नाही.","When the film was developed, none of the pictures proved satisfactory.",फिल्म डेव्हलप झाल्यावर एकही फोटो समाधानकारक निघाला नाही.
"The school has adequate study facilities, but hardly any sports facilities.","शाळेने योग्य शिक्षण सुविधा आहेत, पण काहीही खेळांच्या सुविधा नाहीत.","The school has adequate study facilities, but hardly any sports facilities.","शाळेत अभ्यासासाठी पुरेशा सुविधा आहेत, पण क्रीडा सुविधा जवळजवळ नाहीतच."
"In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.","त्याच्या दैनंदिन व्यापारात, कैरो वासी नागरिकाला अक्सर सांस लागत न देणार्‍या प्रदूषणाची जाणीव होते.","In his daily traffickings, a Cairene resident is often made conscious of the suffocating pollution.",त्याच्या दैनंदिन प्रवासात कैरोच्या रहिवाशाला गुदमरवून टाकणाऱ्या प्रदूषणाची वारंवार जाणीव होते.
"If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","यदि ड्रामा संघर्षाचा अर्थ देतो आणि कविता मेटाफॉर देते, तर कवितादर्मात्मक ड्रामा मेटाफॉरची रूपांतरण करणे आवश्यक आहे!","If drama implies conflict, and poetry metaphor, then poetic drama must imply the dramatization of metaphor!","जर नाटक संघर्ष सूचित करत असेल, आणि कविता रूपक सूचित करत असेल, तर काव्य नाटक निश्चितपणे रूपकाचे नाट्यीकरण सूचित करते!"
"Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","आयटम्स ही ज्ञान नेटवर्कच्या नोड्स म्हणून कार्य करतात, आणि वापरकर्त्यांनी निर्धारित करण्यात आलेल्या रिलेटर्स ही आयटम्समधील लिंक्स म्हणून कार्य करतात.","Items serve as the nodes of the knowledge network, and user-defined relators serve as the links between items.","वस्तू ज्ञानाच्या नेटवर्कचे नोड्स म्हणून कार्य करतात, आणि वापरकर्त्याने परिभाषित केलेले रिलॅटर्स वस्तूंमधील दुवे म्हणून कार्य करतात."
"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तंत्रज्ञानी पाठ्यपुस्तकांचा अनुवादक वेळोवेळी मोठ्या प्रमाणात माहिती संभाळावी लागते आणि ती सोप्या प्रकारे शोधल्या जाऊ शकेल असे सुनिश्चित करावे लागते.,"A translator of technical texts often has to handle large amounts of information, and needs to ensure that it is stored in an easily retrievable form.",तांत्रिक ग्रंथांच्या अनुवादकाला अनेकदा मोठ्या प्रमाणात माहिती हाताळावी लागते आणि ती सहज उपलब्ध होईल अशा स्वरूपात साठवली जाईल याची खात्री करावी लागते.
"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.",कॅलक्युलेटरने निवडलेल्या कार्यांना अंमलात आणले आणि स्क्रीनच्या वरच्या भागावर परिणाम दर्शवले.,"The calculator executed the functions that had been selected, and displayed the results on the top half of the screen.",कॅल्क्युलेटरने निवडलेली कार्ये पार पाडली आणि परिणाम स्क्रीनच्या वरच्या अर्ध्या भागावर प्रदर्शित केले.
"There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","अत्यंत वाईट कारणे आहेत: थकवा, दृष्टी दोष, वाचन क्षमतेचा अभाव, अनावश्यक काळजी, विचारांची विचलन, आणि अपूर्ण प्रेरणा.","There are many disturbing factors: fatigue, poor eye-sight, poor reading ability, anxiety or undue caution, distractibility, and inadequate motivation.","विचलित करणारे अनेक घटक आहेत: थकवा, खराब दृष्टी, खराब वाचन क्षमता, चिंता किंवा अवाजवी सावधगिरी, विचलितता आणि अपुरी प्रेरणा."
"These are the components required: motor brushes, bearings, and wiring.","या घटकांची आवश्यकता आहे: मोटर ब्रश, बियरिंग्स, आणि वायरिंग.","These are the components required: motor brushes, bearings, and wiring.","आवश्यक असलेले घटक खालीलप्रमाणे आहेत: मोटार ब्रशेस, बेअरिंग्ज आणि वायरिंग."
"When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जेव्हा कोणत्या आवाजाचे स्रोत एका खोलीत किंवा इतर कोणत्या भांडणात कार्यरत असते, तेव्हा खोलीतील ध्वनि दाबाचे घटक दोन आहेत: सीधा ध्वनि आणि पुनरावर्ती ध्वनि.","When a source of sound is operating in a room or other enclosure, the sound pressure in the room consists of two components: direct sound and reverberant sound.","जेव्हा ध्वनीचा स्रोत एखाद्या खोलीत किंवा इतर बंद जागेत कार्यरत असतो, तेव्हा खोलीतील ध्वनी दाबामध्ये दोन घटक असतात: थेट ध्वनी आणि निनादी ध्वनी."
The crucial words in the specification are ‘the signals must be routed internally’.,"स्पेसिफिकेशनमध्ये महत्वाच्या शब्दांमध्ये ""सिग्नल्सचे अंतर्गत रूटिंग करणे आवश्यक आहे"".",The crucial words in the specification are ‘the signals must be routed internally’.,तपशीलातील महत्त्वाचे शब्द आहेत: ‘सिग्नल अंतर्गत मार्गाने पाठवले जाणे आवश्यक आहे’.
Would you please supply a list of the correct settings for the ABC?,कृपया ABC च्या योग्य सेटिंग्जची यादी द्या?,Would you please supply a list of the correct settings for the ABC?,कृपया 'एबीसी' साठी योग्य सेटिंग्जची एक यादी पुरवाल का?
Set BATTERY B switch to OFF; set BATTERY C switch to ON.,बॅटरी B स्विच ऑफ करा; बॅटरी C स्विच ऑन करा.,Set BATTERY B switch to OFF; set BATTERY C switch to ON.,बॅटरी 'बी' चा स्विच 'ऑफ' करा; बॅटरी 'सी' चा स्विच 'ऑन' करा.
"What we see, we believe; what we hear, we register",जे आपण बघतो ते आपण विश्वास करतो; जे आपण ऐकतो ते आपल्या मनात रूपांतरित होते,"What we see, we believe; what we hear, we register","जे पाहतो, त्यावर विश्वास ठेवतो; जे ऐकतो, त्याची नोंद घेतो."
"However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.",ऑक्सीडेटिव स्ट्रेस होतो जेव्हा संतुलन बिघडते आणि प्रतिक्रियात्मक ऑक्सिजन स्पेसीजच्या वाढीमुळे.,"However, oxidative stress occurs when the balance is disturbed, through an increase in reactive oxygen species.","तथापि, जेव्हा समतोल बिघडतो, तेव्हा प्रतिक्रियाशील ऑक्सिजन प्रजातींमध्ये वाढ झाल्यामुळे ऑक्सिडेटिव्ह ताण होतो."
"Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel","यदि कोणत्या किंवा कोणत्याही जलन्यास आग लागू होण्यात अयशस्वी होते, त्याच्या संबंधित भागाला 'पुर्ज'मध्ये परत येईल आणि याप्रमाणे प्रणाली अनपूरक ईंधनाची सुरक्षित निर्मिती करते.","Should any burner fail to ignite, its respective section will revert to 'purge', and in this way the system ensures safe removal of unburned fuel","जर कोणताही बर्नर पेटला नाही, तर त्याचा संबंधित विभाग 'पर्ज' वर परत जाईल आणि अशा प्रकारे प्रणाली न जळलेल्या इंधनाची सुरक्षित विल्हेवाट सुनिश्चित करते."
"At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","आधुनिक काळात, 7% म्हणजे फक्त नेट प्रॉफिट देणार्‍या दरांचा व्यापारात व्यापक प्रमाणात व्यापारी आहेत, ज्यामुळे प्रतिस्पर्धा व प्रॉफिट मार्जिन कमी होत आहेत.","At present, rates of return giving a net profit of only 7% are widespread in the industry, indicating increased competition and tighter profit margins.","सध्या उद्योगात केवळ ७% निव्वळ नफा देणारे परताव्याचे दर सर्वत्र पसरलेले आहेत, ज्यामुळे वाढलेली स्पर्धा आणि नफ्याचे घट्ट मार्जिन दिसून येते."
"He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","तो या आणि एका नवजात शिशू यांच्या शिक्षणाच्या प्रक्रियेच्या विकासातील मिळण्याच्या प्रक्रियेतील साम्याचा सांगतो आणि फ्रायडला उद्धृत करतो: ""आता आहे तिथे स्वीकार होईल.""","He draws an analogy between this and the learning process of a new-born child as it develops into maturity, and quotes Freud: ""Where id was, there ego shall be.""","तो याची तुलना नवजात बालक प्रौढत्वाकडे विकसित होत असतानाच्या अध्ययन प्रक्रियेशी करतो आणि फ्रॉइडचे उद्धृत करतो: ""जिथे इड होते, तिथे इगो असेल."""
"Unfortunately though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","असे असूनही दोन्ही निगेटिव्ह आणि पॉझिटिव्ह प्रयोगांबद्दल चुकीचे पूर्वानुमान केले गेले, ज्यामुळे मॉडेलच्या मूळाची विश्वासार्हता याबद्दल शंका निर्माण झाली.","Unfortunately though, incorrect predictions were made about both negative and positive experiments, leading to doubts about the reliability of the underlying model.","तरीही दुर्दैवाने, नकारात्मक आणि सकारात्मक अशा दोन्ही प्रयोगांबद्दल चुकीचे अंदाज वर्तवले गेले, ज्यामुळे मूळ मॉडेलच्या विश्वसनीयतेबद्दल शंका निर्माण झाल्या."
"Reject the applicant, using procedure XYZ to ensure compliance with standard evaluation protocols.","विद्यार्थ्याची अर्ज नाकारण्यासाठी, XYZ प्रक्रिया वापरून मानक मूल्यांकन प्रक्रियांच्या पालनासाठी सुनिश्चित करा.","Reject the applicant, using procedure XYZ to ensure compliance with standard evaluation protocols.",मानक मूल्यांकन नियमांचे पालन सुनिश्चित करण्यासाठी 'XYZ' कार्यपद्धतीचा वापर करून अर्जदाराला नाकारा.
"It represents an early, quantifiable, hyperplastic response of the tissue to injury.","त्याचे प्रतिनिधित्व एका शारीरिक आघाताच्या प्रतिक्रियेचे एक श्रेष्ठ, गणितीय, हायपरप्लास्टिक प्रतिक्रियेचे प्रतिनिधित्व करते.","It represents an early, quantifiable, hyperplastic response of the tissue to injury.","ते दुखापतीनंतर ऊतीचा लवकरचा, मोजता येण्याजोगा, हायपरप्लास्टिक प्रतिसाद दर्शविते."
"Return the XYZ to the operator, following the ABC routine to verify proper functioning and safety.","विज्ञान XYZ को ऑपरेटरला परत द्या, ABC व्यावसायिक कार्याच्या प्रक्रियेनुसार सुरक्षित आणि योग्य कार्य करण्यासाठी पुष्टी करण्यासाठी.","Return the XYZ to the operator, following the ABC routine to verify proper functioning and safety.",योग्य कार्यप्रणाली आणि सुरक्षितता सत्यापित करण्यासाठी 'एबीसी' नियमांचे पालन करून 'XYZ' ऑपरेटरला परत करा.
"Insert the new disk into the disk drive, with the notch at the bottom facing the drive’s entry slot.","डिस्क ड्राइवमध्ये नवीन डिस्क ड्राइवमध्ये डाला, जिथे नोंटचा भाग खाली असलेल्या ड्राइव्हच्या प्रवेश स्लॉटाकडे विश्रांत असतो.","Insert the new disk into the disk drive, with the notch at the bottom facing the drive’s entry slot.","नवीन डिस्क डिस्क ड्राइव्हमध्ये घाला, ज्याचा तळाशी असलेला नॉच ड्राइव्हच्या प्रवेश स्लॉटकडे तोंड करून असेल."
Replace the fuel lines and electrical conduits which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.,फ्यूल लाइन्स आणि इलेक्ट्रिकल कंड्यूट्समध्ये क्रॅक्स किंवा डॅमेज्ड बी-न्यूट फिटिंग्स असलेल्या भागांना बदला आणि सुरक्षित कार्यासाठी प्राधान्य देणे.,Replace the fuel lines and electrical conduits which have cracks or damaged B-nut fittings to prevent leaks and ensure safe operation.,"ज्या इंधन लाईन्स आणि इलेक्ट्रिकल कंड्युईट्सना तडे गेले आहेत किंवा बी-नट फिटिंग्ज खराब झाली आहेत, त्यांना गळती टाळण्यासाठी आणि सुरक्षित कामकाज सुनिश्चित करण्यासाठी बदला."
"The processor accepts data from input devices, and checks it before computing to ensure accuracy and prevent errors.",प्रोसेसर इनपुट डिव्हाइसेसच्या डेटा मागवतो आणि त्याची जतन करून गणना करताना तपासतो ताकी तपशीलवारता आणि त्रुटी टाळण्यासाठी,"The processor accepts data from input devices, and checks it before computing to ensure accuracy and prevent errors.",प्रोसेसर इनपुट उपकरणांकडून डेटा स्वीकारतो आणि अचूकता सुनिश्चित करण्यासाठी व त्रुटी टाळण्यासाठी तो गणनेपूर्वी तपासतो.
"The orifice, through which the exhaust gases leave the chamber is larger than the intake valve opening.",वाहिन्याच्या मुख्या मार्गातून जाणार्‍या विसर्जन गॅसचा मार्ग इंटेक व्हॅल्व्हच्या खाली असलेल्या मुख्या मार्गापेक्षा मोठा आहे.,"The orifice, through which the exhaust gases leave the chamber is larger than the intake valve opening.","ज्या मुखातून उत्सर्जक वायू कक्षातून बाहेर पडतात, ते इनटेक व्हॉल्व्हच्या उघडण्यापेक्षा मोठे आहे."
"Take no action, as the camera operates automatically under all lighting conditions.","कोणत्याही प्रकाशस्थितीत कार्य करण्यासाठी काहीही कारवाई करू नका, कारण कॅमेरा स्वतःच्या स्वाभाविक परिस्थितीत कार्य करते.","Take no action, as the camera operates automatically under all lighting conditions.","कोणतीही कार्यवाही करू नका, कारण कॅमेरा सर्व प्रकाश परिस्थितीत आपोआप कार्य करतो."
"The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations.","जातीच्या मासे कोरड्या किनार्‍यांना समर्थन देतात, आणि त्यांच्या लोकसंख्येचे पालन करण्यासाठी पर्याप्त भोजनाच्या पुरवठ्या उपलब्ध आहेत.","The species of fish supported by the reef are varied, and abundant food supplies are available to sustain their populations.",रीफमुळे आधारलेल्या माशांच्या प्रजाती वैविध्यपूर्ण आहेत आणि त्यांच्या लोकसंख्या टिकवून ठेवण्यासाठी भरपूर अन्न पुरवठा उपलब्ध आहे.
"At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load.","उच्च तापमानावर सर्व सिरेमिक सामग्री दृढता दाखवतात, कठोरता जास्त कमी होते, ज्यामुळा भाराच्या अधीन केल्याने फोल्डिंगचा जास्त जोखीम होते.","At high temperatures, all the ceramic materials show ductility, and hardness decreases considerably, leading to a higher risk of deformation under load.","उच्च तापमानावर, सर्व सिरामिक साहित्ये तन्यता दर्शवतात आणि कडकपणा मोठ्या प्रमाणात कमी होतो, ज्यामुळे भाराखाली विरूपणाचा धोका वाढतो."
"This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","हे हार्ड कॉपी तयार करते जे राखण्यासाठी वापरले जाऊ शकते, पण प्रिंट केलेले पाने मोठे आहेत, त्यामुळे डिजिटल संग्रहण आणि पाहणे वेळोवेळी पसंत केले जाते.","This produces hard copy that can be retained, but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","यामुळे जतन करता येणारी हार्ड कॉपी तयार होते, पण छापलेली पाने हाताळण्यास जाडजूड असल्याने, डिजिटल साठवण आणि पाहण्याला अनेकदा प्राधान्य दिले जाते."
"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication.",,"Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation, and gateways into these networks are planned by the PTTs to ensure seamless data communication.",पीटीटीने पुरवलेल्या पॅकेट-स्विच नेटवर्कशी जोडणी ही वर्कस्टेशनची प्रमुख आवश्यकता असेल आणि अखंड डेटा संवाद सुनिश्चित करण्यासाठी या नेटवर्कमध्ये प्रवेशासाठी गेटवे पीटीटीद्वारे नियोजित आहेत.
The system consistently achieved 50 gallons per hour — optimum output.,सिस्टीमने स्थिरपणे 50 गॅलन्स प्रति तास — सर्वोत्तम उत्पादन.,The system consistently achieved 50 gallons per hour — optimum output.,प्रणालीने सातत्याने दर तासाला ५० गॅलन – इष्टतम उत्पादन – गाठले.
percentage reduction is critical: over- and underreduction cause the ink to be very uneven and prone to smudging.,शास्त्रीयता टक्केवारी कमी हा महत्वाचा आहे. जास्त किंवा कमी टक्केवारी कारणीभूत असल्याने तयार झालेल्या इंकला खूप असमान आणि फुटण्याची प्रवृत्ती असते.,percentage reduction is critical: over- and underreduction cause the ink to be very uneven and prone to smudging.,टक्केवारीतील घट निर्णायक आहे: जास्त घट आणि कमी घट यांमुळे शाई खूपच असमान होते आणि सहज डाग पडण्याची शक्यता असते.
Adopting a user-centered approach is a realistic strategy in the design of both paper- and screen-based forms.,उपभोक्ता केंद्रित प्रात्ययाचा उपयोजित करणे दोन्ही कागद आणि स्क्रीन आधारित फॉर्म्सच्या डिझाइनच्या वास्तविक रणनीती आहे,Adopting a user-centered approach is a realistic strategy in the design of both paper- and screen-based forms.,"वापरकर्ता-केंद्रित दृष्टिकोन स्वीकारणे, कागदावर आधारित आणि स्क्रीनवर आधारित असलेल्या दोन्ही फॉर्म्सच्या डिझाइनमध्ये एक वास्तववादी रणनीती आहे."
Morphological studies of paraquat- or oxygen-toxicity in rats have shown significant cellular damage in lung tissue.,पॅराक्वेट किंवा ऑक्सिजन-विषाक्ततेच्या अध्ययनांनी कृती म्हणजे प्राण्यांमध्ये दाखवून दिले आहे की प्राण्यांच्या फेफरे भागात कोणत्याही प्रकारची क्षती होते.,Morphological studies of paraquat- or oxygen-toxicity in rats have shown significant cellular damage in lung tissue.,उंदरांमधील पॅराक्वेट किंवा ऑक्सिजन विषारीपणाच्या रूपात्मक अभ्यासांनी फुफ्फुसाच्या ऊतीमध्ये लक्षणीय पेशींचे नुकसान दर्शविले आहे.
One should read G. V. Carey’s chapter ‘Proof Correction’ in Mind the Stop.,एका वाचा जे. व्ही. केरी यांच्या प्रूफ कोरेक्शन ह्या शीर्षकाचे अध्याय ‘माइंड द स्टॉप’ मध्ये,One should read G. V. Carey’s chapter ‘Proof Correction’ in Mind the Stop.,जी. व्ही. कॅरीचा 'माईंड द स्टॉप' मधील 'प्रूफ करेक्शन' हा अध्याय वाचला पाहिजे.
"The glass content of this material is low, (10% by weight), for this application.","वस्तूच्या या सामग्रीचा ग्लासचा प्रमाण  कमी आहे (वजनानुसार 10%), या वापरासाठी.","The glass content of this material is low, (10% by weight), for this application.",या सामग्रीतील काचेचे प्रमाण (वजनानुसार १०%) या उपयोगासाठी कमी आहे.
"During the experiment, the animals will be fed with water, (via an automatic system), ad libitum.","प्रयोगाच्या काळात, प्राण्यांना पाण्याने (अत्याधुनिक प्रणालीवरून) अन्न दिले जाईल, ad libitum.","During the experiment, the animals will be fed with water, (via an automatic system), ad libitum.","प्रयोगादरम्यान, प्राण्यांना पाणी (स्वयंचलित प्रणालीद्वारे) इच्छेनुसार दिले जाईल."
a water/glycol ratio of 60/40 is preferred.,जल/ग्लायकोलच्या प्रमाणात 60/40 या प्रमाणात प्राधान्य दिले जाते.,a water/glycol ratio of 60/40 is preferred.,६०/४० पाण्याचे/ग्लायकॉलचे प्रमाण पसंत केले जाते.
It has thickness of only 16/240 inch.,त्याची मात्रा फक्त 16/240 इंच.,It has thickness of only 16/240 inch.,त्याची जाडी फक्त १६/२४० इंच आहे.
